59122.0,239792,SUN T V NETWORK LTD.,7.0
64920.0,266490,VIKAS ECOTECH LTD.,7.0
64910.0,374518,BAJAJ AUTO LTD.,7.0
64910.0,376597,L G B FORGE LTD.,6.0
62013.0,88258,H C L TECHNOLOGIES LTD.,6.0
30913.0,374456,WABCO INDIA LTD.,6.0
70200.0,52181,CARE RATINGS LTD.,6.0
28140.0,71439,SCHAEFFLER INDIA LTD.,6.0
27501.0,272097,WHIRLPOOL OF INDIA LTD.,6.0
59122.0,275062,ZEE ENTERTAINMENT ENTERPRISES LTD.,6.0
70200.0,52194,CRISIL LTD.,6.0
30913.0,72979,FIEM INDUSTRIES LTD.,5.0
46909.0,196452,RELAXO FOOTWEARS LTD.,5.0
62013.0,248092,TATA ELXSI LTD.,5.0
28199.0,91512,HAVELLS INDIA LTD.,5.0
46909.0,36277,3M INDIA LTD.,5.0
28199.0,269920,VOLTAS LTD.,5.0
62013.0,114412,ACCELYA KALE SOLUTIONS LTD.,5.0
62013.0,100632,INFOSYS LTD.,5.0
64920.0,259546,V A TECH WABAG LTD.,5.0
28140.0,203025,S K F INDIA LTD.,5.0
46102.0,12011,G E POWER INDIA LTD.,5.0
46909.0,47769,CIMMCO LTD.,5.0
64192.0,86417,GRUH FINANCE LTD.,5.0
64192.0,197110,REPCO HOME FINANCE LTD.,5.0
46102.0,101293,SUNTECK REALTY LTD.,5.0
64300.0,164646,TATA CONSULTANCY SERVICES LTD.,5.0
27104.0,52418,C G POWER & INDL. SOLUTIONS LTD.,5.0
46909.0,254594,TRIVENI TURBINE LTD.,4.0
46102.0,5747,ADANI ENTERPRISES LTD.,4.0
30913.0,240069,SUNDARAM-CLAYTON LTD.,4.0
62013.0,18395,HEXAWARE TECHNOLOGIES LTD.,4.0
30913.0,149616,MOTHERSON SUMI SYSTEMS LTD.,4.0
62013.0,136494,TECH MAHINDRA LTD.,4.0
64192.0,95632,HOUSING DEVELOPMENT FINANCE CORPN. LTD.,4.0
64300.0,48799,COAL INDIA LTD.,4.0
27501.0,37079,BLUE STAR LTD.,4.0
27501.0,245363,SYMPHONY LTD.,4.0
64910.0,374273,MOTILAL OSWAL FINANCIAL SERVICES LTD.,4.0
27104.0,12007,G E T & D INDIA LTD.,4.0
28199.0,226821,SIEMENS LTD.,3.0
28140.0,152643,N R B BEARINGS LTD.,3.0
30913.0,33750,BHARAT FORGE LTD.,3.0
30913.0,241914,SUPRAJIT ENGINEERING LTD.,3.0
27104.0,408877,SCHNEIDER ELECTRIC INFRASTRUCTURE LTD.,3.0
62013.0,174488,PERSISTENT SYSTEMS LTD.,3.0
62013.0,261710,VAKRANGEE LTD.,3.0
46909.0,132144,M M T C LTD.,3.0
46909.0,227036,SIGNET INDUSTRIES LTD.,3.0
64910.0,374519,BAJAJ FINSERV LTD.,3.0
64300.0,228300,RESPONSIVE INDUSTRIES LTD.,3.0
62013.0,272724,WIPRO LTD.,3.0
46909.0,242416,SURANA CORPORATION LTD.,3.0
62013.0,146460,MINDTREE LTD.,3.0
64920.0,240037,SUNDARAM FINANCE LTD.,2.0
64300.0,122625,BYKE HOSPITALITY LTD.,2.0
70200.0,96443,I C R A LTD.,2.0
30913.0,64150,DYNAMATIC TECHNOLOGIES LTD.,2.0
28199.0,21420,A B B INDIA LTD.,1.0
62013.0,250468,S Q S INDIA B F S I LTD.,1.0
64910.0,384105,BHARAT FINANCIAL INCLUSION LTD.,1.0
59122.0,190071,RAJ TELEVISION NETWORK LTD.,1.0
30913.0,104238,J M T AUTO LTD.,1.0
64910.0,30575,VISAGAR POLYTEX LTD.,0.0
