sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr
,12,1397.05,3.9,32.7,,20 MICRONS LTD.,,,14.3,11,20100331,128.1,4.2,73.0,99.6,2.4,1808.6,9.2,1583.7,,8.6
4.0,12,7272.85,,781.0,,STARLOG ENTERPRISES LTD.,,,112.2,363,20100331,-617.1,2.9,104.3,-622.7,,40.5,,6647.1,,-0.9
,12,47526.7,977.7,-2906.0,,A B G SHIPYARD LTD.,7.6,,51.9,365,20100331,1390.6,10.3,2289.2,349.6,,18076.7,-41.0,53942.3,,20.1
,12,518.6,-0.5,-7.5,,A B L BIOTECHNOLOGIES LTD.,-1.3,-1.0,,400,20100331,269.9,-3.2,-208.8,-9.2,,25.0,,456.0,,-0.9
,12,291.65,,-27.2,,A B M INTERNATIONAL LTD.,,,,414,20100331,,,20.6,,,795.4,,304.6,,
2.3,12,417.15,,13.8,,A B M KNOWLEDGEWARE LTD.,,,,415,20100331,,,68.7,,,422.0,,419.1,,
,12,143.3,,,,A B N GRANITES LTD.,,,,443,20100630,,,-82.5,,,,,143.3,,
,12,38.25,,12.7,,A C E EDUTREND LTD.,,,,612,20100331,5.3,,0.2,,,9.7,,33.7,,
,12,234.35,,,,A C E STONECRAFT LTD.,,,,641,20100331,,,0.3,,,,,234.2,,
,12,203.8,,22.6,,A C I INFOCOM LTD.,-0.8,,0.7,666,20100331,-0.8,,7.5,,,246.5,,149.6,,
32.1,12,1170.5,41.7,166.2,,A D F FOODS LTD.,-2.7,,,783,20100331,70.3,-0.2,156.3,20.6,0.6,1008.2,,1256.4,,9.3
0.1,12,56.15,,-1.4,,A D S DIAGNOSTIC LTD.,0.1,,0.3,830,20100331,-1.4,0.1,-0.4,-1.6,,33.2,,48.6,,
,12,,,-0.1,,A F ENTERPRISES LTD.,,,,912,20100331,,,-0.1,,,,,2.0,,
,12,298.45,,-30.4,,A G S INFOTECH LTD.,88.4,,,1034,20100331,88.4,,14.8,,,297.5,,521.8,,0.0
1.9,12,10337.0,80.5,868.7,,A I A ENGINEERING LTD.,2.4,0.1,2.5,1120,20100331,220.0,8.2,1225.6,119.2,,8458.4,6.1,10981.9,,3.2
1.3,12,1709.5,3.0,137.5,,A INFRASTRUCTURE LTD.,1.4,0.0,0.0,1144,20100331,97.3,1.6,40.8,78.2,,2232.6,,1873.8,,3.4
,12,12.6,,0.0,,A J BROTHERS LTD.,,,,1159,20100331,,,0.0,,,0.6,,12.7,,
,12,7.7,,,,A K C SYNTHETICS LTD.,,,,1315,20100331,,,,,,,,7.7,,
16.3,12,2548.4,1.1,-151.9,,A K CAPITAL SERVICES LTD.,0.4,,,1317,20100331,13.5,1.5,543.9,,,8.9,,2930.5,,10.5
,12,20.8,,0.5,,S M S TECHSOFT (INDIA) LTD.,,,,1464,20100331,,,0.4,,,5.0,,21.0,,
,12,161.15,,,,A K S CREDITS LTD.,,,,1570,20100331,,,-0.9,,,,,194.9,,0.0
0.1,12,201.7,8.8,29.7,,A K SPINTEX LTD.,,,,1621,20100331,41.4,2.0,12.6,27.9,,287.6,,223.2,,2.7
0.8,12,2571.55,94.9,388.8,0.3,A N G INDUSTRIES LTD.,1.8,1.0,,2015,20100331,296.8,0.4,-63.1,154.1,,1064.4,,2476.6,,19.1
,12,40.7,,1.5,,A N GLOBAL LTD.,,,,2021,20100331,,,3.7,,,8.3,,41.0,,
0.1,12,194.35,,8.7,,A N S INDS. LTD.,,0.4,,2080,20100331,2.8,,5.5,0.9,,130.5,,185.1,,0.9
,12,1215.95,0.8,137.6,,A P M INDUSTRIES LTD.,,,2.2,2248,20100331,38.4,2.0,66.0,29.1,,1969.5,,1945.5,,6.5
,12,1088.7,17.4,34.4,,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,-0.3,,,2384,20100331,47.1,-0.1,54.0,27.3,,1596.5,2.5,1147.4,,0.3
,12,11.8,,-1.1,,A R C FINANCE LTD.,,,,2448,20100331,,,0.2,,,,,11.7,,0.0
,12,59.8,,3.4,,A R I CONSOLIDATED INVSTS. PVT. LTD.,,,,2513,20100331,,,10.2,,,,,63.8,,
752.1,12,24872.75,,46.9,,DISH T V INDIA LTD.,4.9,,,2717,20100331,3854.1,2.8,-2621.3,3821.4,,9347.2,21.2,28773.3,,3.6
0.2,12,774.25,0.6,70.9,,ANIL SPECIAL STEEL INDS. LTD.,,,0.2,2773,20100331,8.9,0.3,21.4,7.4,,1140.7,,804.5,,0.6
0.8,12,281.5,,25.6,,A S M TECHNOLOGIES LTD.,,,,2842,20100331,,,34.3,,,427.9,,291.2,,
0.2,12,269.3,,12.5,,A T N INTERNATIONAL LTD.,0.0,,,3052,20100331,0.0,0.1,-9.9,-0.1,,0.9,,263.0,,
,12,2806.25,,-28.2,,A T V PROJECTS INDIA LTD.,,,5.6,3083,20100331,,,47.4,,,272.7,,2789.8,,
,12,71.5,,-10.0,,TAVERNIER RESOURCES LTD.,0.1,,,3149,20100331,0.1,,-5.6,,,30.6,,75.8,,
,12,33.4,,,,A V I PHOTOCHEM LTD.,,,,3194,20100331,,,-1.3,,,,,29.4,,
,12,39.6,,10.6,,A V I POLYMERS LTD.,,,,3196,20100331,,,0.0,,,25.9,,28.5,,
,12,194.65,,,,ZENITH STEEL TUBES & INDS. LTD.,,,143.4,3303,20100331,0.9,,-486.3,0.9,,23.7,,182.7,,
,12,1076.1,26.9,83.0,,A V T NATURAL PRODUCTS LTD.,,,0.4,3335,20100331,116.1,,65.2,89.1,13.6,849.8,,1149.8,,0.1
,12,37.8,,-15.5,,AAKAR ENGINEERING & MFG. CO. LTD.,,,,3624,20100331,,,-23.3,,,159.6,,33.8,,
0.1,12,108.9,,-14.0,,PRISM INFORMATICS LTD.,0.0,,,3704,20100331,0.0,,4.4,,,15.9,,202.3,,
,12,169.25,,14.1,,JAINEX AAMCOL LTD.,,,,3737,20100331,2.4,0.1,-3.4,2.3,,76.8,,174.9,,
,12,131.85,,1.1,,AANKIT GRANITES LTD.,,,,3768,20100331,0.1,0.1,4.6,,,99.1,,135.2,,
,12,207.7,,-11.8,,AAREY DRUGS & PHARMACEUTICALS LTD.,,,,3889,20100331,7.7,,8.1,7.7,0.2,465.9,,261.3,,
5.7,12,3977.0,30.6,448.9,,AARTI DRUGS LTD.,,,,3990,20100331,202.2,7.9,260.7,162.2,45.5,4969.6,,4086.5,,1.5
16.4,12,11004.7,43.3,1758.1,,AARTI INDUSTRIES LTD.,,,2.6,3998,20100331,596.4,6.9,700.2,538.4,26.5,13377.5,,11598.5,,9.6
8.8,12,4758.05,31.1,377.5,,AARVEE DENIMS & EXPORTS LTD.,1.3,16.2,77.3,4024,20100331,72.4,7.1,229.7,10.8,,3795.3,0.1,4776.8,,0.8
,12,17.0,,0.0,,AASHEESH SECURITIES LTD.,,,,4053,20100331,,,-0.1,,,,,17.0,,
,12,15.65,,-0.9,,AASWA TRADING & EXPORTS LTD.,,,,4132,20100331,,,0.5,,,38.9,,15.8,,
,12,0.1,,,,ABACUS COMPUTERS LTD.,,,0.0,4210,20100331,,,,,,,,0.1,,
,12,51867.8,,7082.4,,ABAN OFFSHORE LTD.,,,,4253,20100331,1816.3,2.3,2804.4,1798.4,,11828.8,,57131.0,,15.6
,12,114.35,,0.0,,ABEE INFO-CONSUMABLES LTD.,,,,4320,20100331,,,-12.4,,,56.5,,143.0,,
,12,2.7,,,,ABHIJIT TRADING CO. LTD.,,,,4483,20100331,,,-0.1,,,,,2.6,,
,12,134.6,,-11.8,,ABHINAV CAPITAL SERVICES LTD.,0.1,,,4581,20100331,0.1,,-6.0,,,,,133.2,,
0.1,12,56.7,,-3.3,,ABHINAV LEASING & FINANCE LTD.,,,,4589,20100331,,,1.0,,,,,59.2,,
797.5,12,11732.45,23.4,494.1,,RADICO KHAITAN LTD.,,,34.5,4671,20100331,384.3,1.4,415.4,341.0,,14791.4,20.8,12466.2,,-2.3
,12,3859.55,70.6,36.3,,ABHISHEK CORPORATION LTD.,0.6,11.2,,4680,20100331,138.3,0.8,-324.5,54.8,,398.6,,3633.5,,0.3
4.1,12,24847.0,582.4,1165.6,,TRIDENT LTD.,9.5,,35.7,4709,20100331,2355.7,9.0,564.6,1503.1,,18219.5,13.6,25669.5,,81.7
0.1,12,76.65,,6.2,,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,-0.8,0.4,0.1,4831,20100331,-0.4,,1.7,,,7.3,,75.7,,
6.0,12,2073.25,10.9,116.9,,ACCEL FRONTLINE LTD.,2.8,,,5003,20100331,21.2,-0.6,47.9,,,2677.4,8.5,2165.0,,-0.4
0.3,12,1371.55,6.9,77.7,,ACCURATE TRANSFORMERS LTD.,0.1,,,5206,20100331,9.2,0.6,62.1,0.8,,1946.5,,1451.7,,0.8
,12,140.35,-0.3,20.6,,ACE SOFTWARE EXPORTS LTD.,0.5,,,5284,20100331,-0.1,0.1,-2.3,,,18.9,,139.0,,-0.4
,12,468.35,1.5,-71.2,,ACKNIT INDUSTRIES LTD.,,1.2,0.1,5396,20100331,7.9,0.3,8.7,4.7,,437.8,,544.4,,0.2
194.3,12,9423.6,40.0,-442.1,,PROVOGUE (INDIA) LTD.,0.0,,,5417,20100331,152.7,78.4,283.5,10.8,,4823.2,,9883.5,,17.7
0.1,12,137.35,5.2,4.0,,ACROW INDIA LTD.,,,0.4,5568,20100331,2.2,0.5,3.3,-2.2,,28.4,,134.1,,-1.3
8.7,12,421.05,7.8,94.2,,ACRYSIL LTD.,,,1.6,5574,20100331,50.4,3.4,59.1,24.7,0.5,471.3,,443.7,,5.4
,12,201.65,,-9.1,,ACTION FINANCIAL SERVICES (INDIA) LTD.,2.4,,,5596,20100331,2.3,-0.1,1.2,,,0.1,,215.4,,
,12,33.8,,,,ACUMEN TRADING & INVSTS. LTD.,,,,5674,20100331,,,2.7,,,,,35.1,,
0.1,12,670.95,,29.1,,AD-MANUM FINANCE LTD.,,0.3,,5695,20100331,5.4,0.1,21.3,,,8.7,,698.8,,5.0
19.3,12,73847.3,30.7,6630.0,,ADANI ENTERPRISES LTD.,9.7,23.7,68.1,5747,20100331,-493.9,95.6,2544.1,-652.0,,114334.8,0.8,80636.4,,-2.1
,12,123322.4,1843.8,-163.3,,ADANI POWER LTD.,20.5,,,5757,20100331,23837.1,57.6,1708.0,21740.1,,4348.6,,168386.1,51.3,6.8
0.2,12,1677.75,,135.2,,VIKAS GRANARIES LTD.,,,,5802,20100331,31.9,,217.6,,,1159.3,,1832.7,,
,12,59.45,,-1.9,,ADARSH MERCANTILE LTD.,,,,5838,20100331,,,0.0,,,,,55.2,,
0.1,12,105.9,0.3,0.6,,ADARSH PLANT PROTECT LTD.,,,,5843,20100331,1.2,,0.1,1.0,,59.6,,110.6,,-0.7
,12,32.7,,0.1,,ADCON CAPITAL SERVICES LTD.,,,,5888,20100331,,,0.0,,,,,32.7,,
0.1,12,256.2,,23.7,,ADDI INDUSTRIES LTD.,-0.1,,,5921,20100331,4.4,,1.4,1.1,,238.2,,272.0,,0.3
,12,116.65,,-53.5,,ACIL COTTON INDS. LTD.,,,,5994,20100331,,,0.4,,,,,180.2,,
,12,78.7,,36.9,,ADHARSHILA CAPITAL SERVICES LTD.,,,,6011,20100331,,,0.9,,,,,59.8,,
,12,222.95,,,,ADHBHUT INFRASTRUCTURE LTD.,,,,6016,20100331,,,2.7,,,3.9,,246.2,,
,12,1.2,,,,ADI RASAYAN LTD.,,,,6097,20100331,,,-2.5,,,,,1.2,,
,12,65.45,,-7.0,,ADINATH EXIM RESOURCES LTD.,,,,6136,20100331,,,0.0,,,,,65.3,,
,12,69.85,,3.3,,ADINATH TEXTILES LTD.,,,0.2,6166,20100331,-0.2,,16.9,-0.2,,130.7,,80.6,,
,12,39.6,,,,BLUE CLOUD SOFTECH SOLUTIONS LTD.,,,,6226,20100331,,,-3.8,,,4.0,,37.4,,
,12,15.2,,-0.1,,ADITYA ELECTRO COMMUNICATIONS LTD.,,,,6318,20100331,,,-0.2,,,0.2,,14.9,,
0.1,12,131.2,,,,ADITYA FORGE LTD.,,,,6342,20100331,,,11.8,,,242.2,,156.0,,
,12,34.0,,,,ARIS INTERNATIONAL LTD.,,,,6347,20100331,,,-4.0,,,1.4,,32.5,,
,12,87.35,0.3,4.5,,ADITYA ISPAT LTD.,0.1,,,6348,20100331,0.8,0.1,1.5,0.3,,115.6,,87.0,,
,12,353.1,,,,ADITYA INTERNATIONAL LTD.,,,,6364,20100331,,,0.3,,,,,353.1,,
,12,293.35,0.9,24.7,,NITIN CASTINGS LTD.,,,,6374,20100331,1.8,,15.5,1.0,,263.3,,279.1,,-0.1
,12,39.8,,-1.0,,ADITYA MILLS LTD.,,,,6385,20100331,,,0.0,,,,,47.6,,
,12,156.65,,-10.1,,ADITYA SPINNERS LTD.,0.1,,,6431,20100331,6.4,0.1,-11.5,6.2,,211.5,,157.4,,
158.4,12,21975.55,681.4,1004.3,,RELIANCE MEDIAWORKS LTD.,,,,6484,20100331,2407.4,266.3,-1043.7,1445.4,,4965.5,10.1,24350.2,,3.0
3.4,12,690.6,,157.4,,ADOR FONTECH LTD.,0.9,,,6584,20100331,9.8,0.6,126.4,4.1,,1230.4,,825.2,,4.2
0.2,12,58.3,,-1.1,,ADOR MULTIPRODUCTS LTD.,,,0.1,6585,20100331,,,4.2,,,130.9,,60.9,,
,12,97.7,,,,ADVANCE BIO-COAL (INDIA) LTD.,,,,6697,20100331,,,,,,,,97.7,,
,12,90.5,,-3.4,,ADVANCE MULTITECH LTD.,0.1,,0.1,6767,20100331,3.1,0.2,0.7,1.1,,93.2,,94.9,,1.7
,12,43.25,0.2,2.0,,ADVANCE PETROCHEMICALS LTD.,,,,6773,20100331,0.8,0.1,1.2,0.4,,73.5,,43.2,,0.1
,12,988.35,2.7,72.0,,ADVANCED ENZYME TECHNOLOGIES LTD.,0.6,,,6819,20100331,13.4,2.9,109.2,6.5,63.8,1124.0,,1052.9,,0.7
0.7,12,754.6,,13.2,,ADVANCED MICRONIC DEVICES LTD.,,,,6871,20100331,2.7,1.5,2.6,,,660.0,,673.8,,1.2
6.3,12,659.65,-4.3,-25.2,,ADVANI HOTELS & RESORTS (INDIA) LTD.,,,,6916,20100331,-3.7,-0.2,7.7,1.6,,317.3,-0.4,683.1,,-0.4
8.0,12,1775.9,51.5,241.2,,ADOR WELDING LTD.,,6.3,26.9,6923,20100331,121.3,1.4,256.1,59.7,14.7,2877.3,,1852.4,,3.1
3.4,12,7900.4,7.6,-74.7,,ADVANTA LTD. [MERGED],,,,6926,20101231,12.1,1.6,-297.6,2.3,79.1,1035.1,,9407.7,,
