sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr
8.5,12,43319.7,,3680.3,,ABAN OFFSHORE LTD.,,,40.0,4253,20150331,1463.8,6.5,1906.2,1436.9,,7604.9,,47244.7,,20.4
0.1,12,81.1,,-79.4,,ABHIJIT TRADING CO. LTD.,,,,4483,20150331,,,1.1,,,,,85.1,,
0.1,12,171.2,,2.1,,ABHINAV CAPITAL SERVICES LTD.,,,,4581,20150331,,,13.9,,,,,181.7,,
,12,89.35,,-10.3,,ABHINAV LEASING & FINANCE LTD.,,,,4589,20150331,,,0.0,,,,,118.9,,
1073.3,12,20653.5,45.3,2503.9,,RADICO KHAITAN LTD.,,,,4671,20150331,498.4,3.7,676.4,421.9,,32053.8,25.0,21092.3,,2.5
,12,2948.05,,734.9,,ABHISHEK CORPORATION LTD.,,,,4680,20150331,0.6,,-840.2,0.6,,109.6,,2974.4,,
231.2,12,40446.35,1661.7,5443.3,,TRIDENT LTD.,10.8,,20.8,4709,20150331,13829.9,33.4,1178.2,8828.8,,38347.6,0.7,47378.0,,-2.3
0.1,12,89.0,,30.5,,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,,0.1,,4831,20150331,0.3,0.2,3.7,,,4.1,,90.9,,
,12,3605.2,,270.2,,ACCEL FRONTLINE LTD.,72.4,,,5003,20150331,160.3,1.9,-74.5,7.1,,3406.5,78.7,3808.8,,
0.4,12,163.2,1.1,0.0,,ACE SOFTWARE EXPORTS LTD.,1.5,,,5284,20150331,4.8,1.0,3.9,,,59.8,1.2,168.3,,
,12,997.4,6.7,6.4,,ACKNIT INDUSTRIES LTD.,,2.9,,5396,20150331,31.9,2.5,30.1,18.4,,1498.7,,1047.8,,1.4
17.5,12,8757.55,,448.2,,PROVOGUE (INDIA) LTD.,0.3,,104.3,5417,20150331,1.9,1.6,-745.6,,,5442.1,,8314.8,,
0.1,12,124.65,19.8,-5.9,,ACROW INDIA LTD.,,,26.4,5568,20150331,19.8,,12.9,,,2.3,,133.0,,
30.8,12,1102.4,3.5,126.3,,ACRYSIL LTD.,,,2.6,5574,20150331,93.8,5.5,94.8,52.6,0.8,1192.9,0.1,1235.7,,11.0
0.1,12,363.6,-4.5,-8.5,,ACTION FINANCIAL SERVICES (INDIA) LTD.,-5.4,,5.7,5596,20150331,-12.3,-3.2,2.2,,,0.3,0.8,360.0,,
,12,1063.7,,216.7,,AD-MANUM FINANCE LTD.,,0.3,1.4,5695,20150331,2.4,1.4,9.7,,,12.2,0.9,985.8,,-0.2
,12,227290.65,156.9,-1567.6,,ADANI ENTERPRISES LTD.,41.5,9.6,6.8,5747,20150331,532.4,55.5,4330.2,-1.5,,149154.0,221.6,227683.2,,18.5
,12,407336.45,151.6,23932.8,,ADANI POWER LTD.,10.7,,2240.5,5757,20150331,2028.2,9.7,-686.3,1763.6,,106291.4,55.2,405061.5,,-1.2
0.3,12,2717.7,,34.5,,VIKAS GRANARIES LTD.,,,,5802,20150331,1.1,,3.9,1.1,,2927.1,,2710.3,,
,12,63.8,,-5.8,,ADARSH MERCANTILE LTD.,,,,5838,20150331,-3.3,,0.1,,,12.9,,62.2,,
