sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr
,12,794.0,5.4,61.9,,20 MICRONS LTD.,,,0.4,11,20070331,31.4,2.9,35.7,19.6,6.3,933.6,,845.1,,2.8
2.4,12,3636.55,,237.1,,STARLOG ENTERPRISES LTD.,,,7.6,363,20070331,,,50.8,,,14.3,,4494.0,,
,12,12789.6,,-3955.7,,A B G SHIPYARD LTD.,,,13.4,365,20070331,,,1162.9,,,7043.6,,16359.9,,
,12,190.7,,17.9,,A B L BIOTECHNOLOGIES LTD.,,,,400,20070331,,,20.4,,,140.1,,273.9,,
,12,183.25,,15.9,,A B M INTERNATIONAL LTD.,,,,414,20070331,5.1,,0.1,,,349.4,,198.5,,5.1
,12,145.1,,13.6,,A B M KNOWLEDGEWARE LTD.,,,,415,20070331,,,11.7,,,191.1,,178.3,,
,12,143.4,,,,A B N GRANITES LTD.,,,,443,20070630,,,-27.1,,,,,143.4,,
0.2,12,33.2,,0.5,,A C E EDUTREND LTD.,,,,612,20070331,,,0.4,,,31.4,,34.3,,
,12,261.85,,,,A C E STONECRAFT LTD.,,,,641,20070331,,,,,,,,258.9,,
,12,216.5,,14.6,,A C I INFOCOM LTD.,,,,666,20070331,,,-15.4,,,157.0,,217.0,,
24.1,12,689.3,,118.8,,A D F FOODS LTD.,,,,783,20070331,,,66.1,,0.4,785.5,,783.8,,
0.1,12,58.55,,8.5,,A D S DIAGNOSTIC LTD.,,,,830,20070331,,,0.6,,,34.0,,62.4,,
0.5,12,1543.35,-74.7,10.5,,APEEJAY TEA LTD. [MERGED],,,,934,20070331,-253.9,0.2,6.9,-63.2,,929.8,,2482.2,,-6.8
,12,52.15,,25.4,,A G S INFOTECH LTD.,25.5,,,1034,20070331,25.5,,5.8,,,56.9,,55.1,,
1.2,12,4516.6,,416.9,,A I A ENGINEERING LTD.,,,0.5,1120,20070331,,,669.2,,,4282.7,,5553.5,,
1.8,12,1055.85,8.0,-86.7,,A INFRASTRUCTURE LTD.,,,,1144,20070331,37.1,3.9,59.3,19.0,,1682.1,,1479.5,0.2,1.3
,12,12.85,,4.5,,A J BROTHERS LTD.,,,,1159,20070331,,,-0.2,,,0.5,,12.6,,
,12,10.75,,,,A K C SYNTHETICS LTD.,,,,1315,20070331,,,-4.8,,,,,7.7,,
9.0,12,382.35,,-62.9,,A K CAPITAL SERVICES LTD.,,,,1317,20070331,,,127.4,,,,,466.2,,
,12,20.65,,,,S M S TECHSOFT (INDIA) LTD.,,,,1464,20070331,,,-0.7,,,,,20.7,,
,12,114.1,,,,A K S CREDITS LTD.,,,,1570,20070331,,,-0.2,,,,,110.4,,
,12,160.95,0.8,0.0,,A K SPINTEX LTD.,,,,1621,20070331,29.6,0.1,2.0,24.6,,187.7,,185.4,,1.4
,12,23.85,,,,A M I COMPUTERS (I) LTD.,,,,1827,20070331,,,-6.7,,,2.3,,20.5,,
0.4,12,1190.8,,-92.5,,A N G INDUSTRIES LTD.,,,,2015,20070331,,,230.1,,,1134.6,,1471.8,,
,12,39.9,,3.2,,A N GLOBAL LTD.,,,,2021,20070331,,,3.3,,,5.8,,40.0,,
,12,138.35,,24.3,,A N S INDS. LTD.,,,,2080,20070331,,,50.1,,,132.9,,160.6,,
,12,997.35,,99.5,,A P M INDUSTRIES LTD.,,,,2248,20070331,,,45.0,,,1593.7,,1101.1,,
,12,693.95,,82.3,,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,,,0.9,2384,20070331,,,72.4,,,1161.8,,764.2,,
,12,14.65,,-0.2,,A R C FINANCE LTD.,0.1,,0.1,2448,20070331,-0.6,,-0.9,,,,,14.3,,-0.7
,12,57.25,,9.6,,A R I CONSOLIDATED INVSTS. PVT. LTD.,,,,2513,20070331,,,7.8,,,,,66.3,,
535.2,12,8123.9,,1864.8,,DISH T V INDIA LTD.,,,,2717,20070331,,,-2518.8,,,1909.3,,11220.5,,
0.2,12,806.25,,47.2,,ANIL SPECIAL STEEL INDS. LTD.,,,45.3,2773,20070331,,,54.5,,,1014.4,,839.6,,
0.7,12,154.5,,16.3,,A S M TECHNOLOGIES LTD.,,,,2842,20070331,,,12.0,,,298.6,,167.9,,
,12,24.0,,,,A S R AGRO LTD.,,,,2885,20070331,,,-2.2,,,3.7,,22.9,,
0.2,12,307.7,,-20.9,,A T N INTERNATIONAL LTD.,,,,3052,20070331,,,-3.3,,,10.8,,303.2,,
,15,2827.65,,-4.6,,A T V PROJECTS INDIA LTD.,,,,3083,20070630,,,-210.4,,,112.3,,2831.7,,
,12,77.4,,6.3,,TAVERNIER RESOURCES LTD.,,,2.2,3149,20070331,,,-0.1,,,214.2,,82.7,,
