sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr
,12,911.75,9.2,69.0,,20 MICRONS LTD.,,,0.3,11,20080331,47.7,2.2,45.9,33.9,5.5,1147.9,,978.4,,2.4
6.4,12,5414.95,,295.6,,STARLOG ENTERPRISES LTD.,,,3.0,363,20080331,,,735.6,,,50.3,,6335.9,,
,12,18665.4,,1637.7,,A B G SHIPYARD LTD.,,,12.8,365,20080331,,,1606.8,,15.3,9668.4,,21981.0,,
,12,272.1,,-16.3,,A B L BIOTECHNOLOGIES LTD.,0.1,,,400,20080331,3.8,4.0,17.5,,,200.5,,346.1,,-0.3
,12,201.2,,21.6,,A B M INTERNATIONAL LTD.,,,,414,20080331,-4.0,0.2,4.4,,,481.6,,203.9,,-4.2
,12,222.2,,32.3,,A B M KNOWLEDGEWARE LTD.,,,,415,20080331,,,62.7,,,310.5,,266.1,,
,12,143.35,,,,A B N GRANITES LTD.,,,3.4,443,20080630,,,-79.1,,,,,143.3,,
0.1,12,39.95,,2.5,,A C E EDUTREND LTD.,,,,612,20080331,,,-0.1,,,11.6,,45.6,,
,12,261.2,,,,A C E STONECRAFT LTD.,,,,641,20080331,,,,,,,,263.5,,
,12,213.6,,1.6,,A C I INFOCOM LTD.,5.8,0.1,,666,20080331,11.7,8.3,-17.3,,,251.7,,210.2,,
17.8,12,885.7,,100.0,,A D F FOODS LTD.,,,,783,20080331,0.6,0.6,78.5,,1.0,892.0,,987.6,,
0.1,12,61.3,,0.2,,A D S DIAGNOSTIC LTD.,,,,830,20080331,,,-1.7,,,25.7,,60.2,,
1.2,12,1709.05,,-55.6,,APEEJAY TEA LTD. [MERGED],,,1.2,934,20080331,,,-93.4,,,964.8,,2897.0,,
,12,60.45,,2.6,,A G S INFOTECH LTD.,3.1,,,1034,20080331,3.1,,7.2,,,100.3,,65.8,,
0.7,12,6307.6,,56.5,,A I A ENGINEERING LTD.,,,0.9,1120,20080331,,,1083.1,,,6400.8,,7061.7,,
,12,12.35,,1.5,,A J BROTHERS LTD.,,,,1159,20080331,,,0.0,,,0.6,,12.5,,
,12,7.7,,,,A K C SYNTHETICS LTD.,,,,1315,20080331,,,,,,,,7.7,,
16.0,12,1394.95,,74.8,,A K CAPITAL SERVICES LTD.,,,,1317,20080331,,,266.3,,,,,2323.7,,
,12,20.65,,,,S M S TECHSOFT (INDIA) LTD.,,,,1464,20080331,,,-0.7,,,,,20.6,,
,12,119.6,,,,A K S CREDITS LTD.,,,,1570,20080331,,,0.3,,,,,128.8,,
0.1,12,185.35,,35.6,,A K SPINTEX LTD.,,,,1621,20080331,,,2.4,,,228.6,,185.3,,
,12,20.5,,,,A M I COMPUTERS (I) LTD.,,,,1827,20080331,,,,,,,,20.5,,
0.7,12,2096.7,,-46.9,,A N G INDUSTRIES LTD.,,,,2015,20080331,,,170.3,,,1431.1,,2733.6,,
,12,40.05,,4.0,,A N GLOBAL LTD.,,,,2021,20080331,,,3.5,,,5.9,,40.1,,
0.1,12,207.25,0.1,120.1,,A N S INDS. LTD.,,,,2080,20080331,0.9,,4.3,,,23.8,,253.9,,
,12,1198.55,,19.7,,A P M INDUSTRIES LTD.,,,5.9,2248,20080331,,,6.9,,,1648.3,,1296.0,,
,12,849.95,,104.3,,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,,,,2384,20080331,,,91.3,,,1503.8,,935.7,,
,12,15.4,,-2.4,,A R C FINANCE LTD.,,,,2448,20080331,,,2.3,,,,,16.5,,0.0
,12,69.25,,-11.6,,A R I CONSOLIDATED INVSTS. PVT. LTD.,,,,2513,20080331,,,16.4,,,,,78.5,,
964.6,12,11680.3,,351.7,,DISH T V INDIA LTD.,,,,2717,20080331,,,-4132.0,,,4133.2,,12140.1,,
0.3,12,777.5,,8.9,,ANIL SPECIAL STEEL INDS. LTD.,,,7.4,2773,20080331,,,13.2,,,1012.1,,799.2,,
0.5,12,197.9,,12.1,,A S M TECHNOLOGIES LTD.,,,,2842,20080331,0.2,0.2,36.9,,,402.9,,227.9,,
,12,23.45,,,,A S R AGRO LTD.,,,,2885,20080331,,,-0.4,,,3.5,,24.0,,
0.1,12,285.8,,-10.9,,A T N INTERNATIONAL LTD.,,,,3052,20080331,,,-32.4,,,1.3,,268.4,,
,12,2833.0,,58.1,,A T V PROJECTS INDIA LTD.,,,,3083,20080630,,,-139.3,,,200.3,,2834.3,,
0.1,12,78.5,,36.8,,TAVERNIER RESOURCES LTD.,,,,3149,20080331,,,0.5,,,112.7,,74.3,,
,12,,,,,A V I PHOTOCHEM LTD.,,,,3194,20080331,,,-1.4,,,,,38.5,,
,12,44.75,-0.4,,,A V I POLYMERS LTD.,,,0.3,3196,20080331,-0.4,,0.4,,,68.3,,45.2,,
,12,316.9,,-2.2,,ZENITH STEEL TUBES & INDS. LTD.,,,,3303,20080331,,,-520.8,,,135.0,,282.8,,
,12,886.85,,133.1,,A V T NATURAL PRODUCTS LTD.,,,1.9,3335,20080331,,,92.7,,5.3,825.7,,930.2,,
,12,46.95,,0.1,,AAKAR ENGINEERING & MFG. CO. LTD.,,,,3624,20080331,,,-15.2,,,129.9,,45.2,,
0.1,12,11.85,,3.4,,PRISM INFORMATICS LTD.,0.1,,,3704,20080331,0.1,,2.2,,,3.8,,13.1,,
,12,84.5,,-14.5,,JAINEX AAMCOL LTD.,,,,3737,20080331,,,4.1,,,93.5,,139.2,,
,12,131.75,,8.3,,AANKIT GRANITES LTD.,,,,3768,20080331,,,0.2,,,106.5,,127.6,,
,12,144.6,,2.1,,AAREY DRUGS & PHARMACEUTICALS LTD.,,,,3889,20080331,,,4.8,,,250.5,,165.3,,
2.7,12,3707.4,,309.4,,AARTI DRUGS LTD.,,,,3990,20080331,,,130.7,,25.9,3358.5,,3957.2,,
13.7,12,8413.75,,-16.0,,AARTI INDUSTRIES LTD.,,,0.3,3998,20080331,,,367.0,,11.1,9591.0,,9104.4,,
7.2,12,4046.95,,-489.8,,AARVEE DENIMS & EXPORTS LTD.,,,,4024,20080331,,,53.4,,,2459.7,,4240.4,,
,12,25.5,,,,AASHEESH SECURITIES LTD.,,,,4053,20080331,,,-17.2,,,,,17.0,,
,12,14.75,,-1.1,,AASWA TRADING & EXPORTS LTD.,,,,4132,20080331,,,0.6,,,35.2,,14.8,,
,12,0.1,,,,ABACUS COMPUTERS LTD.,,,,4210,20080331,,,,,,,,0.1,,
,12,23035.0,,2024.9,,ABAN OFFSHORE LTD.,,,,4253,20080331,,,1591.0,,,6858.4,,27093.6,,
,12,151.2,,,,ABEE INFO-CONSUMABLES LTD.,,,,4320,20080331,,,-1.9,,,13.7,,161.3,,
,12,2.8,,,,ABHIJIT TRADING CO. LTD.,,,,4483,20080331,,,,,,,,2.8,,
,12,138.1,,-6.4,,ABHINAV CAPITAL SERVICES LTD.,,,,4581,20080331,,,0.8,,,,,138.0,,
405.1,12,9482.9,,516.8,,RADICO KHAITAN LTD.,,,0.2,4671,20080331,,,265.4,,,12221.4,,9533.7,,
,12,2548.8,,96.1,,ABHISHEK CORPORATION LTD.,,,,4680,20080331,,,53.1,,,689.4,,3274.9,,
11.4,12,17655.8,,1354.3,,TRIDENT LTD.,,,74.6,4709,20080331,,,399.5,,,10682.2,,19853.6,,
0.2,12,76.0,,5.5,,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,,,,4831,20080331,,,1.7,,,5.1,,77.1,,
13.2,12,2154.35,,118.1,,ACCEL FRONTLINE LTD.,,,,5003,20080331,,,71.3,,,2840.8,,2276.8,,
0.3,12,1102.5,,-103.8,,ACCURATE TRANSFORMERS LTD.,0.4,0.3,,5206,20080331,3.9,1.2,71.0,0.2,,1838.4,,1126.2,,1.8
,12,136.45,-1.3,-22.2,,ACE SOFTWARE EXPORTS LTD.,0.3,,,5284,20080331,0.2,-0.1,26.8,,,30.7,,145.4,,
,12,384.5,,-30.9,,ACKNIT INDUSTRIES LTD.,,,,5396,20080331,,,15.9,,,436.3,,426.1,,
165.4,12,4515.75,,-121.7,,PROVOGUE (INDIA) LTD.,,,0.1,5417,20080331,,,258.0,,,3364.3,,5349.9,,
,12,3.0,,,,ACQUAINT EXPORTS LTD.,,,,5531,20080331,,,,,,,,3.0,,
0.1,12,136.7,,15.1,,ACROW INDIA LTD.,,,0.7,5568,20080331,,,18.6,,,83.2,,146.4,,
5.7,12,267.45,,47.7,,ACRYSIL LTD.,,,0.8,5574,20080331,,,36.4,,0.7,307.6,,310.1,,
0.1,12,180.45,,1.4,,ACTION FINANCIAL SERVICES (INDIA) LTD.,,,,5596,20080331,,,3.8,,,,,193.1,,
,12,30.55,,,,ACUMEN TRADING & INVSTS. LTD.,,,,5674,20080331,,,1.3,,,,,31.2,,
0.1,12,542.5,,-36.2,,AD-MANUM FINANCE LTD.,,,,5695,20080331,,,12.8,,,10.8,,587.0,,
328.7,12,62175.05,,7192.4,,ADANI ENTERPRISES LTD.,,,386.2,5747,20080331,,,3120.7,,,113796.5,,65923.9,,
,12,17563.5,,-1533.2,,ADANI POWER LTD.,,,,5757,20080331,,,,,,,,28568.9,,
,12,1.25,,0.0,,ADARSH CHEMICALS & FERTILISERS LTD.,,,11.9,5791,20080331,,,11.8,,,,,1.1,,
