sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr
,12,1094.4,11.4,1.4,,20 MICRONS LTD.,,,0.7,11,20090331,50.6,2.7,13.4,29.5,3.1,1454.8,,1210.4,,1.4
4.5,12,7117.25,,525.1,,STARLOG ENTERPRISES LTD.,,,,363,20090331,2565.3,6.9,71.5,2512.2,,95.1,,7898.6,,0.0
,12,31530.4,2359.1,-2346.5,,A B G SHIPYARD LTD.,4.3,,3.6,365,20090331,3410.5,4.4,1711.0,955.1,,14122.2,29.9,42052.5,,10.7
,12,463.65,,7.7,,A B L BIOTECHNOLOGIES LTD.,,,,400,20090331,,,-9.7,,,96.6,,657.0,,
,12,241.3,,39.8,,A B M INTERNATIONAL LTD.,,0.2,,414,20090331,0.2,,3.5,,,536.0,,278.7,,
,12,340.65,,171.5,,A B M KNOWLEDGEWARE LTD.,,,,415,20090331,,,59.4,,,442.1,,415.2,,
,12,143.3,,,,A B N GRANITES LTD.,,,,443,20090630,,,-82.5,,,,,143.3,,
,12,44.2,,7.9,,A C E EDUTREND LTD.,,,,612,20090331,7.0,,-0.5,,,3.9,,42.8,,
,12,249.0,,,,A C E STONECRAFT LTD.,,,,641,20090331,,,0.0,,,,,234.5,,
,12,234.1,,,,A C I INFOCOM LTD.,2.9,0.6,,666,20090331,6.2,3.3,1.4,,,297.2,,258.0,,-0.6
28.5,12,1036.1,4.3,167.8,,A D F FOODS LTD.,0.2,,,783,20090331,19.4,0.5,98.0,14.4,0.6,967.6,,1084.6,,0.0
0.1,12,61.95,,6.8,,A D S DIAGNOSTIC LTD.,,,,830,20090331,,,0.4,,,47.9,,63.7,,
0.3,12,1871.8,5.6,193.9,,APEEJAY TEA LTD. [MERGED],,,8.8,934,20090331,-10.7,0.2,161.7,-10.5,,1689.5,,2777.7,,-3.1
,12,70.45,,9.0,,A G S INFOTECH LTD.,,,,1034,20090331,,,9.7,,,157.4,,75.1,,
1.5,12,8376.9,263.1,1540.2,,A I A ENGINEERING LTD.,10.2,30.3,7.2,1120,20090331,855.7,30.0,1334.6,501.6,,9805.0,,9692.1,,11.3
0.6,12,,37.7,160.2,,A INFRASTRUCTURE LTD.,0.8,19.7,1.7,1144,20090331,182.9,0.8,16.3,114.4,,1851.0,,1893.3,,9.5
,12,12.45,,-1.1,,A J BROTHERS LTD.,,,,1159,20090331,,,0.3,,,0.9,,12.8,,
,12,7.7,,,,A K C SYNTHETICS LTD.,,,,1315,20090331,,,,,,,,7.7,,
10.9,12,2245.0,354.6,309.5,,A K CAPITAL SERVICES LTD.,0.3,,,1317,20090331,376.2,8.7,375.7,,,11.3,2.4,2166.3,,3.5
,12,20.6,,,,S M S TECHSOFT (INDIA) LTD.,,,,1464,20090331,,,,,,,,20.6,,
,12,128.1,,,,A K S CREDITS LTD.,,,,1570,20090331,,,-0.8,,,,,127.4,,
0.1,12,182.75,0.9,23.5,,A K SPINTEX LTD.,,,0.1,1621,20090331,5.5,0.3,6.3,4.3,,281.3,,180.2,,
,12,20.5,,,,A M I COMPUTERS (I) LTD.,,,,1827,20090331,,,,,,,,20.5,,
1.1,12,2699.7,8.8,31.6,0.3,A N G INDUSTRIES LTD.,1.9,0.4,,2015,20090331,109.5,2.6,-15.3,83.6,,1154.4,,2677.0,,11.9
,12,40.25,,3.7,,A N GLOBAL LTD.,,,,2021,20090331,,,4.0,,,6.6,,40.4,,
0.1,12,228.75,1.1,-95.8,,A N S INDS. LTD.,,,,2080,20090331,1.9,,35.5,,,180.9,,203.6,,
,12,1240.9,1.8,101.0,,A P M INDUSTRIES LTD.,,,9.5,2248,20090331,18.0,4.4,10.6,15.0,,1841.4,,1896.2,,-1.9
,12,982.85,,173.7,,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,-1.3,,,2384,20090331,91.5,0.3,92.1,65.8,,1584.9,-6.5,1030.0,,1.1
