sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr
,12,1783.95,14.7,73.5,,20 MICRONS LTD.,,,0.3,11,20110331,136.8,14.0,55.0,88.6,3.2,2408.3,7.5,1984.2,,3.9
,12,,-0.3,-66.5,,A B C INDIA LTD.,,,2.4,289,20110331,252.3,1.2,54.9,16.8,,2057.7,0.0,1623.6,,218.5
1.6,12,6349.8,,1026.9,,STARLOG ENTERPRISES LTD.,,,0.0,363,20110331,-127.6,0.7,84.3,-128.5,,1452.0,,6052.5,,
,12,64540.0,,14907.2,,A B G SHIPYARD LTD.,,,10.0,365,20110331,,,1888.0,,,20770.9,,76049.5,,
,12,416.3,,-4.7,,A B L BIOTECHNOLOGIES LTD.,-0.1,,,400,20110331,-2.8,-1.4,-6.0,,,0.4,,452.4,,-1.3
,12,309.15,,33.8,,A B M INTERNATIONAL LTD.,,,,414,20110331,0.1,0.1,5.0,,,1005.1,,313.7,,0.0
2.7,12,503.85,,-73.7,,A B M KNOWLEDGEWARE LTD.,1.3,,,415,20110331,2.3,1.0,105.7,,,579.9,,588.6,,
0.4,12,71.6,,-25.3,,A C E EDUTREND LTD.,39.8,0.2,,612,20110331,49.3,0.9,6.1,8.4,,239.2,,109.5,,
0.0,12,266.6,,,,A C E STONECRAFT LTD.,,,,641,20110331,,,0.9,,,4.0,,299.0,,
1.1,12,172.5,,-57.0,,A C I INFOCOM LTD.,-18.2,-1.1,20.5,666,20110331,-75.5,-24.6,0.2,,,138.4,,195.4,,-1.5
19.6,12,1420.15,21.4,224.3,,A D F FOODS LTD.,0.5,,1.4,783,20110331,68.8,3.1,178.1,39.7,0.8,1109.7,,1583.9,,4.1
0.2,12,49.3,,7.7,,A D S DIAGNOSTIC LTD.,0.1,,,830,20110331,0.6,,0.7,0.0,,36.2,,50.0,,0.5
,12,1.05,,-2.0,,A F ENTERPRISES LTD.,,,,912,20110331,,,-2.0,,,0.1,,0.1,,
,12,559.3,,,,A G S INFOTECH LTD.,,,,1034,20110331,5.3,0.2,15.3,,,311.9,,596.8,,5.1
1.6,12,10374.05,175.9,360.3,,A I A ENGINEERING LTD.,,,3.8,1120,20110331,581.1,42.5,1297.5,286.8,,10243.4,3.7,9766.2,,5.0
9.2,12,1691.6,,132.6,,A INFRASTRUCTURE LTD.,5.5,,0.5,1144,20110331,23.3,0.5,33.4,13.5,,2077.6,,1825.2,,0.5
18.6,12,3232.1,-2.6,-694.8,,A K CAPITAL SERVICES LTD.,2.6,,,1317,20110331,14.9,2.8,538.0,,,,,3533.7,,12.1
,12,32.3,9.7,,,S M S TECHSOFT (INDIA) LTD.,,,,1464,20110331,17.3,4.9,-0.1,2.7,,6.7,,43.6,,
,12,198.05,,,,A K S CREDITS LTD.,,,,1570,20110331,-0.2,,0.1,,,,,201.2,,-0.2
0.1,12,251.35,2.7,57.3,,A K SPINTEX LTD.,,,,1621,20110331,67.9,1.6,12.2,42.3,,302.3,,279.5,,0.0
0.9,12,2588.75,15.0,-19.2,0.3,A N G INDUSTRIES LTD.,2.0,1.6,0.0,2015,20110331,122.6,0.8,18.7,100.1,,1553.7,,2706.0,,2.7
0.1,12,186.4,8.1,13.0,,A N S INDS. LTD.,0.1,,,2080,20110331,13.3,0.1,8.4,3.3,,89.2,,187.7,,1.7
,12,1371.95,0.0,-5.9,,A P M INDUSTRIES LTD.,,,2.9,2248,20110331,,,138.2,0.0,,2435.5,0.0,2187.2,,0.0
9.1,12,1128.05,35.6,59.5,,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,1.2,,0.1,2384,20110331,51.2,0.7,-11.4,9.1,,1074.5,2.1,1108.7,,-1.4
,12,11.25,,-1.3,,A R C FINANCE LTD.,,,,2448,20110331,0.7,,-1.1,,,,,10.8,,0.7
0.1,12,95.8,71.9,5.6,,A R I CONSOLIDATED INVSTS. PVT. LTD.,,,0.0,2513,20110331,70.4,-1.5,13.2,0.0,,,,130.2,,
782.3,12,27825.7,,4004.4,,DISH T V INDIA LTD.,15.4,,,2717,20110331,6543.5,15.3,-1896.9,6514.5,,12380.2,-1.7,26878.1,,3.2
0.3,12,789.8,0.6,94.8,,ANIL SPECIAL STEEL INDS. LTD.,,,1.2,2773,20110331,8.7,0.1,30.5,8.9,,1377.8,,844.2,,-0.9
1.8,12,344.6,,79.8,,A S M TECHNOLOGIES LTD.,,,,2842,20110331,4.8,1.6,65.2,3.8,,623.3,,398.0,,-0.6
0.1,12,260.3,,7.1,,A T N INTERNATIONAL LTD.,-0.9,,,3052,20110331,-0.9,,-9.0,,,4.9,,257.6,,
,12,2797.9,,49.7,,A T V PROJECTS INDIA LTD.,,,,3083,20110331,2.4,0.1,22.6,2.3,,239.8,,2806.0,,0.0
,12,71.65,,4.9,,TAVERNIER RESOURCES LTD.,,,,3149,20110331,,,4.8,,,101.5,,67.5,,
,12,28.35,0.0,0.1,0.0,A V I PHOTOCHEM LTD.,0.0,0.0,,3194,20110331,,,-0.5,0.0,,1.6,,27.3,,
0.1,12,31.65,,2.3,,A V I POLYMERS LTD.,,,,3196,20110331,,,0.0,,,53.0,,34.8,,
0.0,12,173.4,,3.8,,ZENITH STEEL TUBES & INDS. LTD.,0.1,,,3303,20110331,2.3,1.0,-30.1,1.2,,42.3,,164.1,,
,12,1249.3,2.9,0.5,,A V T NATURAL PRODUCTS LTD.,,,0.0,3335,20110331,9.9,0.4,108.1,0.0,15.5,1380.9,,1348.8,,1.4
,12,34.2,,-0.1,,AAKAR ENGINEERING & MFG. CO. LTD.,,,,3624,20110331,,,-0.6,,,130.2,,34.6,,
0.2,12,316.7,,-34.7,,PRISM INFORMATICS LTD.,0.5,,,3704,20110331,1.6,,38.9,,,154.3,,431.1,,1.1
,12,175.35,,25.4,,JAINEX AAMCOL LTD.,,,0.2,3737,20110331,0.2,,2.5,0.2,,119.0,,192.4,,0.0
0.5,12,139.25,,0.3,,AANKIT GRANITES LTD.,0.0,,,3768,20110331,,,0.5,,,74.9,,143.3,,
0.0,12,344.0,,-98.5,,AAREY DRUGS & PHARMACEUTICALS LTD.,0.0,0.1,,3889,20110331,14.2,,7.9,13.4,,677.7,,426.7,,0.7
5.2,12,4623.2,64.5,283.9,,AARTI DRUGS LTD.,,,,3990,20110331,583.2,12.6,224.7,497.8,43.8,5230.1,,5159.9,,0.0
24.1,12,12414.4,58.6,412.5,,AARTI INDUSTRIES LTD.,,,9.9,3998,20110331,567.1,7.8,666.8,474.2,48.3,15377.1,,13230.3,,8.0
2.8,12,5265.6,117.2,595.3,,AARVEE DENIMS & EXPORTS LTD.,0.9,49.3,7.5,4024,20110331,443.9,4.2,334.4,268.2,,4952.9,0.5,5754.4,,-1.9
,12,11.8,,,,AASHEESH SECURITIES LTD.,,,,4053,20110331,,,-10.4,,,,,6.6,,
,12,16.05,,-0.9,,AASWA TRADING & EXPORTS LTD.,,,,4132,20110331,,,0.4,,,40.5,,16.3,,
,12,0.05,,,,ABACUS COMPUTERS LTD.,,,0.6,4210,20110331,,,0.6,,,,,,,
0.8,12,56927.1,,5699.1,,ABAN OFFSHORE LTD.,,,4.1,4253,20110331,320.9,5.0,2339.5,311.5,,11913.8,,56723.2,,4.4
,12,132.6,,-3.3,,ABEE INFO-CONSUMABLES LTD.,,,,4320,20110331,0.1,0.1,-6.3,,,10.2,,144.0,,
,12,2.6,,0.2,,ABHIJIT TRADING CO. LTD.,,,,4483,20110331,,,-0.4,,,,,2.6,,
0.1,12,142.7,,-22.7,,ABHINAV CAPITAL SERVICES LTD.,,,,4581,20110331,,,22.2,,,,,152.2,,
,12,62.55,,1.7,,ABHINAV LEASING & FINANCE LTD.,,,,4589,20110331,1.5,,1.0,,,,,65.9,,1.5
1021.5,12,13026.1,-40.5,407.5,,RADICO KHAITAN LTD.,,,23.8,4671,20110331,13.9,1.3,694.5,0.0,,16881.5,44.8,13772.3,,26.4
,12,3397.8,,110.3,,ABHISHEK CORPORATION LTD.,0.8,,,4680,20110331,2.4,0.2,-698.4,1.4,,542.1,,3162.1,,0.0
