co_code,company_name,co_stkdate,bse_pb,nse_pb,eps_on_stkdate
11,20 MICRONS LTD.,20130801,1.4718,1.4669,-0.9949
289,A B C INDIA LTD.,20130801,1.4467,NA,7.31
365,A B G SHIPYARD LTD.,20130801,0.8995,0.9266,9.2534
415,A B M KNOWLEDGEWARE LTD.,20130801,0.5639,NA,12.8386
612,A C E EDUTREND LTD.,20130801,1.8724,NA,1.299
666,A C I INFOCOM LTD.,20130801,2.6096,NA,0.0235
783,A D F FOODS LTD.,20130801,0.5976,0.6066,4.4727
1120,A I A ENGINEERING LTD.,20130801,2.5247,2.4772,21.0824
1317,A K CAPITAL SERVICES LTD.,20130801,0.264,NA,48.8182
1464,S M S TECHSOFT (INDIA) LTD.,20130801,0.459,NA,0.0003
2248,A P M INDUSTRIES LTD.,20130801,0.4585,NA,11.2904
2717,DISH T V INDIA LTD.,20130801,NA,NA,-0.5034
2773,ANIL SPECIAL STEEL INDS. LTD.,20130801,0.2447,NA,0.3832
2842,A S M TECHNOLOGIES LTD.,20130801,0.9876,NA,18.5
3083,A T V PROJECTS INDIA LTD.,20130801,NA,NA,0.2749
3335,A V T NATURAL PRODUCTS LTD.,20130801,1.6939,1.6888,6.4853
3704,PRISM INFORMATICS LTD.,20130801,1.2456,NA,-0.3058
3889,AAREY DRUGS & PHARMACEUTICALS LTD.,20130801,0.4978,NA,0.2855
3990,AARTI DRUGS LTD.,20130801,1.1574,1.1521,40.1865
3998,AARTI INDUSTRIES LTD.,20130801,0.9649,0.9655,14.2022
4024,AARVEE DENIMS & EXPORTS LTD.,20130801,0.2851,0.281,15.29
4253,ABAN OFFSHORE LTD.,20130801,0.589,0.5865,-8.9851
4671,RADICO KHAITAN LTD.,20130801,1.6712,1.6596,6.1949
4680,ABHISHEK CORPORATION LTD.,20130801,NA,NA,-44.5327
4709,TRIDENT LTD.,20130801,0.2788,0.2775,2.8439
5003,ACCEL FRONTLINE LTD.,20130801,0.5159,0.5046,0.9562
5206,ACCURATE TRANSFORMERS LTD.,20130801,0.1297,NA,1.9854
5417,PROVOGUE (INDIA) LTD.,20130801,0.1262,0.1253,2.1634
5574,ACRYSIL LTD.,20130801,1.3571,NA,15.074
5747,ADANI ENTERPRISES LTD.,20130801,1.8329,1.8324,2.3743
5757,ADANI POWER LTD.,20130801,1.5657,1.5611,-6.4176
5802,VIKAS GRANARIES LTD.,20130801,0.1445,NA,4.4432
5994,ACIL COTTON INDS. LTD.,20130801,0.055,NA,0.0023
6484,RELIANCE MEDIAWORKS LTD.,20130801,9.3069,9.3187,-21.984
6584,ADOR FONTECH LTD.,20130801,1.4176,NA,5.9657
6871,ADVANCED MICRONIC DEVICES LTD.,20130801,0.925,NA,-18.3485
6916,ADVANI HOTELS & RESORTS (INDIA) LTD.,20130801,4.2017,4.2017,0.3981
6923,ADOR WELDING LTD.,20130801,0.6567,0.6538,11.8984
6926,ADVANTA LTD. [MERGED],20130801,2.3608,2.3608,2.7649
6953,ADVENT COMPUTER SERVICES LTD.,20130801,0.3608,NA,-0.0307
7068,AEGIS LOGISTICS LTD.,20130801,1.1063,1.0966,8.1198
7077,LUDLOW JUTE & SPECIALITIES LTD.,20130801,0.7209,NA,8.3356
7294,AFTEK LTD.,20130801,0.0896,0.0884,-2.6101
7447,WAGEND INFRA VENTURE LTD.,20130801,10.4389,NA,0.0997
7633,SHIRPUR GOLD REFINERY LTD.,20130801,0.621,0.6173,0.5251
8153,AGRO DUTCH INDS. LTD.,20130801,NA,NA,-18.3887
8183,AGRO TECH FOODS LTD.,20130801,5.1091,5.0994,17.5467
