co_code,,,,,
12933,AMBICA AGARBATHIES AROMA & INDS. LTD.,20040802,3.3964,3.5053,1.7014
13126,AMBUJA CEMENT EASTERN LTD. [MERGED],20040802,2.7656,NA,2.2141
13188,AMCO INDIA LTD.,20040802,0.1945,NA,6.0341
13356,TUTIS TECHNOLOGIES LTD.,20040802,0.5133,NA,1.273
13398,AMFORGE INDUSTRIES LTD.,20040802,3.4662,NA,6.977
13711,AMIT SPINNING INDS. LTD.,20040802,NA,NA,-3.267
13995,AMRAPALI DEVELOPERS (INDIA) LTD. [MERGED],20040802,0.195,NA,-0.0337
14039,AMRIT CORP. LTD.,20040802,0.6038,NA,2.7465
14204,AMRUTANJAN HEALTH CARE LTD.,20040802,0.9141,NA,3.9688
14268,AMTEK AUTO LTD.,20040802,3.8315,3.8348,33.6046
14271,CASTEX TECHNOLOGIES LTD.,20040802,1.385,NA,19.0966
14299,JOHNSON CONTROLS-HITACHI AIR CONDITIONING INDIA LTD.,20040802,14.1482,14.1931,-7.6568
14897,ANANT RAJ LTD.,20040802,0.4397,NA,0.2281
15214,ANDHRA BANK,20040802,1.143,1.143,12.3688
15222,ANDHRA CEMENTS LTD.,20040802,NA,NA,-4.4148
15246,ANDHRA PETROCHEMICALS LTD.,20040802,0.7649,NA,-0.4378
15270,INTERNATIONAL PAPER A P P M LTD.,20040802,0.4976,0.5022,18.0642
15303,ANDHRA SUGARS LTD.,20040802,NA,0.8734,11.6649
15321,ANDREW YULE & CO. LTD.,20040802,NA,NA,-9.7671
15815,SYSCHEM (INDIA) LTD.,20040802,1.1177,NA,-0.3901
16177,SHREE BHAVYA FABRICS LTD.,20040802,0.2488,NA,2.1714
16191,ANJANI PORTLAND CEMENT LTD.,20040802,0.4433,NA,0.5057
16414,ADITYA INFO-SOFT LTD.,20040802,NA,NA,5.2529
16431,ANKUR DRUGS & PHARMA LTD.,20040802,1.571,NA,4.5684
16490,ANKUSH FINSTOCK LTD.,20040802,NA,NA,-0.0666
16635,SHIVA TEXYARN LTD.,20040802,0.3222,0.3106,1.2729
16814,ANSAL BUILDWELL LTD.,20040802,0.1398,NA,1.3863
16820,ANSAL HOUSING & CONSTRUCTION LTD.,20040802,0.1363,NA,2.3861
16823,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,20040802,0.2858,NA,3.6258
16941,ANTARCTICA LTD.,20040802,NA,0.3631,-0.9974
17002,A B C BEARINGS LTD.,20040802,1.2015,NA,5.5498
17728,APAR INDUSTRIES LTD.,20040802,1.6686,1.6625,11.016
17809,APCOTEX INDUSTRIES LTD.,20040802,0.3282,0.3309,1.4112
18030,APLAB LTD.,20040802,0.6623,NA,3.1
18093,APOLLO FINVEST (INDIA) LTD.,20040802,0.1931,NA,-0.934
18102,APOLLO HOSPITALS ENTERPRISE LTD.,20040802,3.3455,3.3455,10.1066
18151,APOLLO TYRES LTD.,20040802,1.217,1.2177,17.5831
18227,APPLE FINANCE LTD.,20040802,NA,NA,-0.7867
18395,HEXAWARE TECHNOLOGIES LTD.,20040802,4.289,4.288,20.3033
18396,APTECH LTD.,20040802,0.9033,0.9053,3.399
19063,ARCHIES LTD.,20040802,0.8156,0.8061,8.8995
19361,NATIONAL PLASTIC TECHNOLOGIES LTD.,20040802,1.0279,NA,0.8997
19480,ARIHANT CAPITAL MARKETS LTD.,20040802,0.5282,NA,3.35
19962,RESONANCE SPECIALTIES LTD.,20040802,1.0926,NA,-2.4775
20015,ARO GRANITE INDS. LTD.,20040802,0.445,NA,19.9786
