co_code	company_name	co_stkdate	bse_pb	nse_pb	eps_on_stkdate
10903	ALKYL AMINES CHEMICALS LTD.	20090803	1.0095	0.9492	3.6477
11019	ALLAHABAD BANK	20090803	0.7595	0.757	21.8952
11063	ALLCARGO LOGISTICS LTD.	20090803	3.4714	3.4502	43.4064
11259	AVONMORE CAPITAL & MGMT. SERVICES LTD.	20090803	0.3412	NA	0.4792
11262	ALMONDZ GLOBAL SECURITIES LTD.	20090803	0.6837	0.7161	4.0361
11284	RAP MEDIA LTD.	20090803	0.7416	NA	1.2753
11303	ALLIED DIGITAL SERVICES LTD.	20090803	2.0712	2.0749	46.2
11443	ALLSEC TECHNOLOGIES LTD.	20090803	0.4123	0.4188	-3.2484
11599	ALOK INDUSTRIES LTD.	20090803	0.6196	0.6166	3.1034
11664	ALPA LABORATORIES LTD.	20090803	0.2939	0.295	-0.8888
11764	ALPHA HI-TECH FUEL LTD.	20090803	0.1263	NA	-0.6524
11853	ALPHAGEO (INDIA) LTD.	20090803	1.4302	1.4317	-13.477
11905	ALPINE HOUSING DEVP. CORPN. LTD.	20090803	0.3127	NA	4.1869
11955	ALPS INDUSTRIES LTD.	20090803	0.6556	0.6513	-56.5131
12007	G E T & D INDIA LTD.	20090803	9.0052	8.9994	10.38
12011	G E POWER INDIA LTD.	20090803	8.2908	8.2832	20.227
12108	ALUFLUORIDE LTD.	20090803	1.1556	NA	4.8997
12258	AMAL LTD.	20090803	NA	NA	-3.9431
12379	AMANI TRADING & EXPORTS LTD.	20090803	2.3645	NA	0.8575
12482	AMAR REMEDIES LTD.	20090803	0.5837	0.5803	9.6812
12517	AMARA RAJA BATTERIES LTD.	20090803	2.2344	2.2306	12.3199
12577	AMARJOTHI SPINNING MILLS LTD.	20090803	0.6147	NA	4.9185
12774	AMBALAL SARABHAI ENTERPRISES LTD.	20090803	1.1033	NA	-18.5585
12933	AMBICA AGARBATHIES AROMA & INDS. LTD.	20090803	0.5587	0.542	1.2374
13029	AMBIKA COTTON MILLS LTD.	20090803	0.3803	0.3587	16.1872
13188	AMCO INDIA LTD.	20090803	0.329	NA	5.0365
13356	TUTIS TECHNOLOGIES LTD.	20090803	0.8626	NA	-0.418
13398	AMFORGE INDUSTRIES LTD.	20090803	0.1606	NA	-3.0499
13637	AMIT INTERNATIONAL LTD.	20090803	0.241	NA	0.6346
13711	AMIT SPINNING INDS. LTD.	20090803	NA	NA	-3.1917
13995	AMRAPALI DEVELOPERS (INDIA) LTD. [MERGED]	20090803	NA	NA	-0.1178
14000	AMRAPALI INDUSTRIES LTD.	20090803	0.7037	NA	2.26
14039	AMRIT CORP. LTD.	20090803	1.114	NA	8.6828
14050	AMRIT BANASPATI CO. LTD.	20090803	1.188	NA	5.7178
14204	AMRUTANJAN HEALTH CARE LTD.	20090803	1.1778	NA	37.3597
14268	AMTEK AUTO LTD.	20090803	0.8361	0.8395	10.6253
14271	CASTEX TECHNOLOGIES LTD.	20090803	0.3356	0.336	4.8217
14299	JOHNSON CONTROLS-HITACHI AIR CONDITIONING INDIA LTD.	20090803	1.5023	1.5023	8.3101
14344	AMULYA LEASING & FINANCE LTD.	20090803	1.0233	NA	0.08
14464	VIPUL LTD.	20090803	0.715	NA	2.6337
14897	ANANT RAJ LTD.	20090803	1.2468	1.2481	-2.9523
15047	NAKSHATRA INFRASTRUCTURE LTD.	20090803	0.61	NA	0.1273
15214	ANDHRA BANK	20090803	1.145	1.145	17.0569
15222	ANDHRA CEMENTS LTD.	20090803	4.1265	NA	1.6729
15246	ANDHRA PETROCHEMICALS LTD.	20090803	0.7604	NA	0.792
15270	INTERNATIONAL PAPER A P P M LTD.	20090803	0.4332	0.4305	3.4391
15303	ANDHRA SUGARS LTD.	20090803	0.88	0.8776	16.955
15321	ANDREW YULE & CO. LTD.	20090803	NA	NA	-1.1508
15510	A I CHAMPDANY INDS. LTD.	20090803	0.7592	0.7528	-4.2782
15815	SYSCHEM (INDIA) LTD.	20090803	0.9872	NA	-0.053
15887	ANIL LTD.	20090803	1.4103	NA	12.5843
16177	SHREE BHAVYA FABRICS LTD.	20090803	0.4515	NA	1.9789
16191	ANJANI PORTLAND CEMENT LTD.	20090803	1.0199	NA	11.3923
16198	ANJANI SYNTHETICS LTD.	20090803	1.6218	NA	3.3145
16431	ANKUR DRUGS & PHARMA LTD.	20090803	1.0316	1.0323	21.1671
16490	ANKUSH FINSTOCK LTD.	20090803	1.2408	NA	-0.1499
16496	AVIVA INDUSTRIES LTD.	20090803	0.4817	NA	-0.0667
16590	ANNA INFRASTRUCTURES LTD.	20090803	0.8409	NA	0.3421
16635	SHIVA TEXYARN LTD.	20090803	0.414	NA	0.8794
16814	ANSAL BUILDWELL LTD.	20090803	0.7493	NA	10.4417
16820	ANSAL HOUSING & CONSTRUCTION LTD.	20090803	0.3935	0.3957	4.8945
16823	ANSAL PROPERTIES & INFRASTRUCTURE LTD.	20090803	0.6322	0.6327	2.7207
16941	ANTARCTICA LTD.	20090803	NA	0.6655	0.0189
17002	A B C BEARINGS LTD.	20090803	0.7139	NA	4.4589
17123	AMEYA LABORATORIES LTD.	20090803	2.3988	NA	0.6823
17206	ANUH PHARMA LTD.	20090803	1.4816	NA	28.1968
17728	APAR INDUSTRIES LTD.	20090803	1.3977	1.4025	3.0894
17809	APCOTEX INDUSTRIES LTD.	20090803	0.5595	0.545	8.3403
17815	INANNA FASHION & TRENDS LTD.	20090803	NA	NA	-0.6245
18030	APLAB LTD.	20090803	0.7089	NA	-0.22
18065	ADINATH BIO-LABS LTD.	20090803	4.4902	NA	0.0634
18093	APOLLO FINVEST (INDIA) LTD.	20090803	0.5321	NA	-8.634
18102	APOLLO HOSPITALS ENTERPRISE LTD.	20090803	2.3344	2.3442	22.3032
18138	ADITYA BIRLA MONEY LTD.	20090803	4.2298	4.224	0.2004
