co_code,company_name,co_stkdate,bse_pb,nse_pb,eps_on_stkdate
11443,ALLSEC TECHNOLOGIES LTD.,20050801,2.6494,2.6657,11.2682
11599,ALOK INDUSTRIES LTD.,20050801,1.3686,1.3708,6.2752
11736,ALPHA DRUG INDIA LTD. [MERGED],20050801,3.2098,NA,-4.2718
11764,ALPHA HI-TECH FUEL LTD.,20050801,0.9053,NA,7.9108
11853,ALPHAGEO (INDIA) LTD.,20050801,2.3075,NA,1.274
11955,ALPS INDUSTRIES LTD.,20050801,1.209,1.2081,23.6027
12007,G E T & D INDIA LTD.,20050801,4.8975,NA,5.2397
12011,G E POWER INDIA LTD.,20050801,4.7282,4.7626,5.7323
12108,ALUFLUORIDE LTD.,20050801,2.363,NA,-0.1714
12258,AMAL LTD.,20050801,NA,NA,-24.1851
12517,AMARA RAJA BATTERIES LTD.,20050801,0.8985,0.9032,6.1998
12577,AMARJOTHI SPINNING MILLS LTD.,20050801,2.2965,NA,9.4815
12774,AMBALAL SARABHAI ENTERPRISES LTD.,20050801,1.5139,NA,-3.3272
12933,AMBICA AGARBATHIES AROMA & INDS. LTD.,20050801,1.5898,1.5976,1.0017
13029,AMBIKA COTTON MILLS LTD.,20050801,1.96,NA,22.0766
13126,AMBUJA CEMENT EASTERN LTD. [MERGED],20050801,4.6727,NA,2.6266
13188,AMCO INDIA LTD.,20050801,0.6096,NA,4.0389
13356,TUTIS TECHNOLOGIES LTD.,20050801,1.3292,NA,2.0659
13398,AMFORGE INDUSTRIES LTD.,20050801,9.8407,NA,-14.8783
13637,AMIT INTERNATIONAL LTD.,20050801,0.8754,NA,2.1786
13995,AMRAPALI DEVELOPERS (INDIA) LTD. [MERGED],20050801,0.4446,NA,0.0337
14000,AMRAPALI INDUSTRIES LTD.,20050801,0.6024,NA,0.86
14039,AMRIT CORP. LTD.,20050801,1.4236,NA,3.4311
14204,AMRUTANJAN HEALTH CARE LTD.,20050801,1.7937,NA,7.0938
14268,AMTEK AUTO LTD.,20050801,3.2199,3.2273,9.1865
14271,CASTEX TECHNOLOGIES LTD.,20050801,2.7057,2.7108,34.477
14299,JOHNSON CONTROLS-HITACHI AIR CONDITIONING INDIA LTD.,20050801,10.2297,10.2084,4.7909
14897,ANANT RAJ LTD.,20050801,10.8363,NA,0.14
15047,NAKSHATRA INFRASTRUCTURE LTD.,20050801,0.8402,NA,0.1091
15214,ANDHRA BANK,20050801,2.1913,2.1923,11.377
15222,ANDHRA CEMENTS LTD.,20050801,NA,NA,-5.3285
15246,ANDHRA PETROCHEMICALS LTD.,20050801,1.5384,NA,1.6182
15270,INTERNATIONAL PAPER A P P M LTD.,20050801,0.7358,0.7445,11.1085
15303,ANDHRA SUGARS LTD.,20050801,NA,1.9366,16.4238
15321,ANDREW YULE & CO. LTD.,20050801,NA,NA,-12.7379
15788,MODI NATURALS LTD.,20050801,0.2579,NA,1.808
15815,SYSCHEM (INDIA) LTD.,20050801,6.8153,NA,0.2208
16177,SHREE BHAVYA FABRICS LTD.,20050801,0.9088,NA,2.9742
16178,ANJANI FINANCE LTD.,20050801,0.8934,NA,0.0493
16191,ANJANI PORTLAND CEMENT LTD.,20050801,1.2192,NA,-0.9571
16198,ANJANI SYNTHETICS LTD.,20050801,0.7905,NA,2.9077
16431,ANKUR DRUGS & PHARMA LTD.,20050801,4.1302,NA,4.5895
16490,ANKUSH FINSTOCK LTD.,20050801,1.1977,NA,3.6642
16635,SHIVA TEXYARN LTD.,20050801,0.9748,0.9774,2.967
16814,ANSAL BUILDWELL LTD.,20050801,1.4464,NA,1.8574
16820,ANSAL HOUSING & CONSTRUCTION LTD.,20050801,1.6637,NA,5.7041
16823,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,20050801,3.4141,NA,11.4858
16941,ANTARCTICA LTD.,20050801,NA,1.0832,-0.9143
17002,A B C BEARINGS LTD.,20050801,2.8175,NA,10.7965
17206,ANUH PHARMA LTD.,20050801,3.6035,NA,46.8391
17728,APAR INDUSTRIES LTD.,20050801,3.7008,3.6832,15.0822
17809,APCOTEX INDUSTRIES LTD.,20050801,0.7385,0.7457,1.2664
17815,INANNA FASHION & TRENDS LTD.,20050801,NA,NA,-0.05
18030,APLAB LTD.,20050801,2.8101,NA,5.42
18093,APOLLO FINVEST (INDIA) LTD.,20050801,0.4535,NA,1.2186
18102,APOLLO HOSPITALS ENTERPRISE LTD.,20050801,3.1247,3.1349,11.8758
18151,APOLLO TYRES LTD.,20050801,1.5619,1.5713,14.8495
18227,APPLE FINANCE LTD.,20050801,NA,NA,-0.4401
18341,C L C GLOBAL LTD. [MERGED],20050801,1.9165,NA,5.2396
18395,HEXAWARE TECHNOLOGIES LTD.,20050801,4.1462,4.1544,4.4008
18396,APTECH LTD.,20050801,2.746,2.7523,-17.3682
18850,ARAVALI SECURITIES & FINANCE LTD.,20050801,0.738,NA,-0.2574
18939,ARCEE INDUSTRIES LTD.,20050801,0.3931,NA,-0.0778
19063,ARCHIES LTD.,20050801,1.5411,1.5278,9.7295
19291,AREX INDUSTRIES LTD.,20050801,0.8231,NA,3.6628
19361,NATIONAL PLASTIC TECHNOLOGIES LTD.,20050801,2.8436,NA,1.9406
19408,FINAVENTURE CAPITAL LTD.,20050801,1.4844,NA,1.1111
19480,ARIHANT CAPITAL MARKETS LTD.,20050801,2.5048,NA,4.7295
19528,ARIHANT FOUNDATIONS & HOUSING LTD.,20050801,3.2592,NA,12.84
19642,ARIHANT'S SECURITIES LTD.,20050801,0.6608,NA,0.84
19915,ARMAN FINANCIAL SERVICES LTD.,20050801,0.4939,NA,0.9812
19962,RESONANCE SPECIALTIES LTD.,20050801,2.7172,NA,-0.4245
20015,ARO GRANITE INDS. LTD.,20050801,0.7884,NA,13.6895
20094,ARONI COMMERCIALS LTD. [MERGED],20050801,0.6926,NA,26.1091
20138,ARORA FIBRES LTD.,20050801,1.0791,NA,-0.4722
20327,ARROW GREENTECH LTD.,20050801,3.1785,NA,1.4716
20357,ARROW WEBTEX LTD. [MERGED],20050801,4.2751,NA,9.429
20451,ARTEFACT PROJECTS LTD.,20050801,0.5944,NA,1.0545
20554,ARTSON ENGINEERING LTD.,20050801,NA,NA,0.5309
20868,ARUNODAY MILLS LTD.,20050801,NA,NA,-26.9091
20973,GUJARAT METALLIC COAL & COKE LTD.,20050801,1.6114,NA,-3.433
21009,ARVIND INTERNATIONAL LTD.,20050801,0.7555,NA,-5.6336
21042,ARVIND LTD.,20050801,1.9592,1.9585,7.0227
21058,ARVIND PRODUCTS LTD. [MERGED],20050801,3.4091,NA,-0.7572
21066,ARVIND REMEDIES LTD.,20050801,1.8396,1.8132,0.0861
21190,ARYAMAN FINANCIAL SERVICES LTD.,20050801,0.6148,NA,-0.216
21275,ASAHI INFRASTRUCTURE & PROJECTS LTD.,20050801,2.079,NA,0.1774
21283,ASAHI INDIA GLASS LTD.,20050801,7.1965,7.1528,10.1271
21358,ASCENT EXIM (INDIA) LTD.,20050801,3.1865,NA,2.0983
21420,A B B INDIA LTD.,20050801,7.9687,8.0051,40.9257
21575,ASHAPURA MINECHEM LTD.,20050801,4.2612,4.224,25.3665
21611,ASHCO NIULAB INDS. LTD.,20050801,2.5394,NA,5.6316
21663,ASHIANA HOUSING LTD.,20050801,1.6002,NA,-1.4197
21667,ASHIANA ISPAT LTD.,20050801,1.0493,NA,0.9407
21707,ASHIMA LTD.,20050801,NA,NA,-22.3742
21728,ASHIRWAD CAPITAL LTD.,20050801,1.2949,NA,5.04
21755,ASHIRWAD STEELS & INDS. LTD.,20050801,0.9652,NA,2.3608
21844,ASHISH POLYPLAST LTD.,20050801,0.4402,NA,0.0589
21964,ASHOK ALCO-CHEM LTD.,20050801,NA,NA,-9.0678
22104,ASHOK LEYLAND LTD.,20050801,3.0333,3.0382,2.2682
22773,RELIGARE TECHNOVA GLOBAL SOLUTIONS LTD. [MERGED],20050801,3.6975,NA,2.5714
22793,ASIAN ELECTRONICS LTD.,20050801,1.3508,1.3504,15.2309
22819,ASIAN HOTELS (NORTH) LTD.,20050801,2.7176,2.7347,15.5853
22855,ASIAN OILFIELD SERVICES LTD.,20050801,2.4765,NA,1.0827
22859,ASIAN PAINTS LTD.,20050801,7.1592,7.1623,18.8084
22896,ASIAN STAR CO. LTD.,20050801,7.3202,NA,22.2093
22900,ASIAN TEA & EXPORTS LTD.,20050801,1.5499,NA,0.1571
23217,ASSAM COMPANY INDIA LTD.,20050801,5.399,NA,11.7027
23287,ASSAMBROOK LTD.,20050801,1.5081,NA,-20.4478
23354,A C C LTD.,20050801,4.4911,4.4932,21.2756
23463,HIND ALUMINIUM INDS. LTD.,20050801,0.9391,NA,4.2998
23482,ASSOCIATED STONE INDS. (KOTAH) LTD.,20050801,1.37,NA,6.9248
23668,ASTRA MICROWAVE PRODUCTS LTD.,20050801,24.8473,24.7964,49.1787
23709,ASTRAZENECA PHARMA INDIA LTD.,20050801,7.8408,7.7715,60.02
23885,ATCOM TECHNOLOGIES LTD.,20050801,NA,NA,-42.7249
24101,ATLAS COPCO (INDIA) LTD.,20050801,5.5039,NA,44.6068
24106,ATLAS CYCLES (HARYANA) LTD.,20050801,0.6559,0.6506,4.4897
24306,ATUL AUTO LTD.,20050801,1.8043,NA,5.7367
24381,ATUL LTD.,20050801,1.2882,1.2844,1.8273
24496,AKSHARCHEM (INDIA) LTD.,20050801,0.7069,NA,0.8228
24570,AUNDE INDIA LTD.,20050801,2.1587,NA,2.8443
24616,AURANGABAD PAPER MILLS LTD.,20050801,1.438,NA,-0.9632
24663,AURO LABORATORIES LTD.,20050801,0.9779,NA,-0.1925
24685,AUROBINDO PHARMA LTD.,20050801,2.12,2.1197,3.2551
24774,AUSTIN ENGINEERING CO. LTD.,20050801,1.118,NA,4.8855
24921,AUTOLITE (INDIA) LTD.,20050801,NA,NA,-7.7513
24967,AUTOMOBILE CORPN. OF GOA LTD.,20050801,12.3561,NA,27.613
24976,AUTOMOTIVE AXLES LTD.,20050801,7.4298,7.409,19.1371
25020,AUTORIDERS FINANCE LTD.,20050801,NA,NA,-0.412
25159,AVANTEL LTD.,20050801,8.7978,NA,0.2716
25176,AVANTI FEEDS LTD.,20050801,0.6024,NA,13.5015
25290,SANOFI INDIA LTD.,20050801,6.9883,6.9943,59.2863
25323,AVERY INDIA LTD.,20050801,1.8669,NA,2.6749
25574,AVON LIFESCIENCES LTD.,20050801,1.2208,NA,-0.5316
25754,ELIXIR CAPITAL LTD.,20050801,1.2712,NA,0.2997
25790,AXTEL INDUSTRIES LTD.,20050801,NA,NA,0.3875
25979,AZTECSOFT LTD. [MERGED],20050801,4.1556,4.159,4.2063
26005,B & A LTD.,20050801,1.5253,NA,-13.871
26039,B 2 B SOFTWARE TECHNOLOGIES LTD.,20050801,1.9903,NA,0.2913
26061,B A G FILMS & MEDIA LTD.,20050801,1.7087,1.7061,0.5975
26076,B A S F INDIA LTD.,20050801,2.0767,2.0676,13.8772
26213,HEMANG RESOURCES LTD.,20050801,0.9359,NA,0.697
26214,B C C FUBA INDIA LTD.,20050801,1.0305,NA,0.165
26260,B C L FORGINGS LTD.,20050801,7.4087,NA,12.2186
26365,B D H INDUSTRIES LTD.,20050801,1.0645,NA,1.5806
26485,B F UTILITIES LTD.,20050801,4.3497,NA,-1.784
26633,BILCARE LTD.,20050801,5.8562,NA,20.1912
26647,B I T S LTD.,20050801,1.032,NA,-0.1332
26919,B L B LTD.,20050801,0.682,NA,-1.1577
26990,B L S INFOTECH LTD.,20050801,0.4337,NA,0.2627
27247,B N K CAPITAL MARKETS LTD.,20050801,0.7251,NA,0.72
27289,B N R UDYOG LTD.,20050801,0.7389,NA,1.5333
27292,B N RATHI SECURITIES LTD.,20050801,0.6549,NA,2.0667
27347,LINDE INDIA LTD.,20050801,2.3678,2.3638,5.8797
27424,B P L ENGINEERING LTD.,20050801,NA,1.9652,-3.2032
27428,B P L LTD.,20050801,0.4438,0.4464,-55.9879
27694,B S APPLIANCES LTD.,20050801,NA,NA,-38.3019
27739,B S E L INFRASTRUCTURE REALTY LTD.,20050801,2.1719,2.1613,3.67
27747,RELIANCE INFRASTRUCTURE LTD.,20050801,2.0817,2.0819,28.591
27798,B S L LTD.,20050801,0.9263,0.9341,2.3181
27842,B S REFRIGERATORS LTD.,20050801,NA,NA,-12.2422
28469,BAFFIN ENGINEERING PROJECTS LTD.,20050801,3.0357,NA,0.002
28785,BAID LEASING & FINANCE CO. LTD.,20050801,0.4438,NA,-0.8462
28897,BAJAJ FINANCE LTD.,20050801,1.7453,1.7453,36.5126
28899,BAJAJ HOLDINGS & INVST. LTD.,20050801,3.3725,3.37,74.8076
28920,BAJAJ ELECTRICALS LTD.,20050801,4.7325,NA,19.1487
28932,BAJAJ HINDUSTHAN SUGAR LTD.,20050801,4.4151,4.4207,9.766
28933,TRINITY BIO-TECH LTD.,20050801,NA,NA,-0.2105
28958,WOPOLIN PLASTICS LTD.,20050801,NA,NA,4.9165
28974,BAJAJ STEEL INDS. LTD.,20050801,0.7847,NA,5.1364
28981,FORCE MOTORS LTD.,20050801,1.8848,NA,-2.4817
