co_code,company_name,co_stkdate,bse_pb,nse_pb,eps_on_stkdate
11,20 MICRONS LTD.,20120801,2.4973,2.5012,6.308
289,A B C INDIA LTD.,20120801,1.4438,NA,1.2737
363,STARLOG ENTERPRISES LTD.,20120801,0.766,NA,-2.1894
365,A B G SHIPYARD LTD.,20120801,1.3008,1.3051,36.0651
400,A B L BIOTECHNOLOGIES LTD.,20120801,0.2783,NA,-0.2439
415,A B M KNOWLEDGEWARE LTD.,20120801,1.234,NA,13.1186
612,A C E EDUTREND LTD.,20120801,2.3446,NA,1.5937
666,A C I INFOCOM LTD.,20120801,10.273,NA,0.1358
783,A D F FOODS LTD.,20120801,0.7521,0.7552,5.2129
1034,A G S INFOTECH LTD.,20120801,2.9846,NA,-7.1417
1120,A I A ENGINEERING LTD.,20120801,2.9197,2.9301,15.5035
1317,A K CAPITAL SERVICES LTD.,20120801,0.4349,NA,45.9545
1464,S M S TECHSOFT (INDIA) LTD.,20120801,0.3887,NA,0
2015,A N G INDUSTRIES LTD.,20120801,0.2351,0.2381,0.4418
2248,A P M INDUSTRIES LTD.,20120801,0.3393,NA,5.164
2384,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,20120801,2.9681,NA,-13.6243
2717,DISH T V INDIA LTD.,20120801,NA,NA,-1.3712
2773,ANIL SPECIAL STEEL INDS. LTD.,20120801,0.4209,NA,1.3034
2842,A S M TECHNOLOGIES LTD.,20120801,1.2632,NA,17.16
3052,A T N INTERNATIONAL LTD.,20120801,0.2283,0.2433,-0.2079
3083,A T V PROJECTS INDIA LTD.,20120801,NA,NA,0.2071
3335,A V T NATURAL PRODUCTS LTD.,20120801,2.4251,2.4321,6.9751
3704,PRISM INFORMATICS LTD.,20120801,1.5946,NA,1.2324
3889,AAREY DRUGS & PHARMACEUTICALS LTD.,20120801,1.6015,NA,0.1844
3990,AARTI DRUGS LTD.,20120801,0.7996,0.798,23.0663
3998,AARTI INDUSTRIES LTD.,20120801,1.1029,1.1051,11.7442
4024,AARVEE DENIMS & EXPORTS LTD.,20120801,0.3555,0.3539,9.7827
4253,ABAN OFFSHORE LTD.,20120801,0.9453,0.9446,-23.7565
4671,RADICO KHAITAN LTD.,20120801,2.1268,2.119,4.862
4680,ABHISHEK CORPORATION LTD.,20120801,NA,NA,-55.0022
4709,TRIDENT LTD.,20120801,0.4357,0.4357,-2.6527
5003,ACCEL FRONTLINE LTD.,20120801,0.7357,0.7406,3.8873
5206,ACCURATE TRANSFORMERS LTD.,20120801,0.2426,NA,7.8743
5284,ACE SOFTWARE EXPORTS LTD.,20120801,0.2033,NA,1.047
5417,PROVOGUE (INDIA) LTD.,20120801,0.3446,0.3435,1.9894
5568,ACROW INDIA LTD.,20120801,0.6899,NA,1.875
5574,ACRYSIL LTD.,20120801,1.1113,NA,9.9596
5695,AD-MANUM FINANCE LTD.,20120801,0.6718,NA,6.6933
5747,ADANI ENTERPRISES LTD.,20120801,1.9556,1.9556,3.4621
5757,ADANI POWER LTD.,20120801,1.8029,1.8029,-5.81
5802,VIKAS GRANARIES LTD.,20120801,0.4949,NA,2.8426
5843,ADARSH PLANT PROTECT LTD.,20120801,1.0524,NA,-2.5324
5921,ADDI INDUSTRIES LTD.,20120801,0.4128,NA,-2.7694
