co_code,company_name,co_stkdate,bse_pb,nse_pb,eps_on_stkdate
289,A B C INDIA LTD.,20060801,0.6182,NA,1.0395
363,STARLOG ENTERPRISES LTD.,20060801,1.7305,NA,6.325
365,A B G SHIPYARD LTD.,20060801,2.5024,NA,16.814
400,A B L BIOTECHNOLOGIES LTD.,20060801,3.0863,NA,4.9268
612,A C E EDUTREND LTD.,20060801,0.745,NA,0.3796
783,A D F FOODS LTD.,20060801,0.6637,NA,4.0206
934,APEEJAY TEA LTD. [MERGED],20060801,0.7421,NA,-8.35
1120,A I A ENGINEERING LTD.,20060801,4.203,4.1961,25.157
1464,S M S TECHSOFT (INDIA) LTD.,20060801,0.1009,NA,-0.1582
2015,A N G INDUSTRIES LTD.,20060801,7.301,NA,14.4008
2248,A P M INDUSTRIES LTD.,20060801,0.3459,NA,8.9074
2384,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,20060801,2.1878,NA,10.9127
2773,ANIL SPECIAL STEEL INDS. LTD.,20060801,0.7899,NA,0.8838
2842,A S M TECHNOLOGIES LTD.,20060801,2.0716,NA,3.52
3335,A V T NATURAL PRODUCTS LTD.,20060801,1.5681,NA,50.1136
3990,AARTI DRUGS LTD.,20060801,1.0639,1.0697,10.6247
3998,AARTI INDUSTRIES LTD.,20060801,0.8812,0.8826,5.9443
4024,AARVEE DENIMS & EXPORTS LTD.,20060801,0.8359,NA,13.6521
4053,AASHEESH SECURITIES LTD.,20060801,NA,NA,-0.0727
4253,ABAN OFFSHORE LTD.,20060801,12.5995,12.6386,22.3062
4320,ABEE INFO-CONSUMABLES LTD.,20060801,0.2479,NA,-0.62
4581,ABHINAV CAPITAL SERVICES LTD.,20060801,1.5628,NA,2.0651
4671,RADICO KHAITAN LTD.,20060801,8.5838,8.5772,4.3972
4709,TRIDENT LTD.,20060801,1.0743,1.0716,2.875
5284,ACE SOFTWARE EXPORTS LTD.,20060801,0.6287,NA,1.4448
5396,ACKNIT INDUSTRIES LTD.,20060801,0.7344,NA,9.6429
5417,PROVOGUE (INDIA) LTD.,20060801,2.7115,2.689,8.0074
5568,ACROW INDIA LTD.,20060801,0.701,NA,25.1563
5596,ACTION FINANCIAL SERVICES (INDIA) LTD.,20060801,0.4165,NA,0.23
5695,AD-MANUM FINANCE LTD.,20060801,0.4221,NA,5.1333
5747,ADANI ENTERPRISES LTD.,20060801,3.1209,3.1181,4.622
5802,VIKAS GRANARIES LTD.,20060801,1.7124,NA,-1.039
5921,ADDI INDUSTRIES LTD.,20060801,0.4647,NA,-6.8262
6342,ADITYA FORGE LTD.,20060801,NA,NA,-0.441
6348,ADITYA ISPAT LTD.,20060801,0.2051,NA,0.0235
6364,ADITYA INTERNATIONAL LTD.,20060801,0.4374,NA,18.6363
6484,RELIANCE MEDIAWORKS LTD.,20060801,2.6405,2.6307,6.6808
6584,ADOR FONTECH LTD.,20060801,2.0664,NA,11.6
6585,ADOR MULTIPRODUCTS LTD.,20060801,0.7243,NA,0.257
6871,ADVANCED MICRONIC DEVICES LTD.,20060801,0.9265,NA,0.7006
6916,ADVANI HOTELS & RESORTS (INDIA) LTD.,20060801,5.1265,NA,2.3583
6923,ADOR WELDING LTD.,20060801,3.8469,3.8675,25.0249
7002,ADVIK LABORATORIES LTD.,20060801,0.3721,NA,-0.2138
7068,AEGIS LOGISTICS LTD.,20060801,2.0301,2.0293,15.3116
7077,LUDLOW JUTE & SPECIALITIES LTD.,20060801,0.8106,NA,-1.3367
7091,AEONIAN INVESTMENTS CO. LTD.,20060801,1.1817,NA,37.7292
7294,AFTEK LTD.,20060801,0.968,0.9663,10.5508
7633,SHIRPUR GOLD REFINERY LTD.,20060801,0.2678,NA,-22.8562
8153,AGRO DUTCH INDS. LTD.,20060801,0.4998,0.5009,3.3491
8183,AGRO TECH FOODS LTD.,20060801,2.1611,2.1626,4.4154
8306,AHLCON PARENTERALS (INDIA) LTD.,20060801,1.8031,NA,9.4026
8354,TORRENT POWER A E C LTD. [MERGED],20060801,1.3054,1.2916,20.6985
8378,AHMEDABAD STEELCRAFT LTD.,20060801,0.3789,NA,-4.7898
8392,METALYST FORGINGS LTD.,20060801,1.8971,1.9125,12.2426
8523,AIMCO PESTICIDES LTD.,20060801,0.6776,NA,-2.2736
8893,AJANTA PHARMA LTD.,20060801,0.7447,0.7437,8.6433
8909,AJANTA SOYA LTD.,20060801,0.3067,NA,0.4287
9167,AJCON GLOBAL SERVICES LTD.,20060801,0.616,NA,0.9653
9431,AKAR TOOLS LTD.,20060801,0.6709,NA,4.4231
9681,CORE EDUCATION & TECHNOLOGIES LTD.,20060801,10.7526,NA,15.5858
9793,AKSH OPTIFIBRE LTD.,20060801,1.5954,1.5954,5.064
10376,ALBERT DAVID LTD.,20060801,1.0367,NA,10.9512
10397,RHODIA SPECIALTY CHEMICALS INDIA LTD.,20060801,0.9418,NA,-3.4661
10564,SHRENO LTD.,20060801,5.348,NA,-82.5403
10566,ALEMBIC LTD.,20060801,2.5914,2.5993,26.4635
10674,ALFA ICA (INDIA) LTD.,20060801,0.3514,NA,1.5594
10678,ALFA LAVAL (INDIA) LTD.,20060801,5.7247,5.8016,31.6897
10714,ALFA TRANSFORMERS LTD.,20060801,1.9725,NA,0.8667
10735,ALFAVISION OVERSEAS (INDIA) LTD.,20060801,0.866,NA,1.5543
10752,ALFRED HERBERT (INDIA) LTD.,20060801,0.5461,NA,97.7407
10867,ALKA INDIA LTD.,20060801,0.534,NA,-0.0908
10903,ALKYL AMINES CHEMICALS LTD.,20060801,0.9991,NA,4.1963
11019,ALLAHABAD BANK,20060801,0.8904,0.8904,11.7155
11063,ALLCARGO LOGISTICS LTD.,20060801,3.8419,3.8386,23.8795
11259,AVONMORE CAPITAL & MGMT. SERVICES LTD.,20060801,1.385,NA,2.3312
11262,ALMONDZ GLOBAL SECURITIES LTD.,20060801,1.3585,NA,4.6136
11284,RAP MEDIA LTD.,20060801,104.6584,NA,0.06
11443,ALLSEC TECHNOLOGIES LTD.,20060801,3.3258,3.3163,19.6987
11599,ALOK INDUSTRIES LTD.,20060801,1.1591,1.16,6.7212
11764,ALPHA HI-TECH FUEL LTD.,20060801,0.2222,NA,1.033
11853,ALPHAGEO (INDIA) LTD.,20060801,2.9757,NA,13.2661
