co_code	company_name	co_stkdate	bse_pb	nse_pb	eps_on_stkdate
289	A B C INDIA LTD.	20070801	0.639	NA	1.1994
363	STARLOG ENTERPRISES LTD.	20070801	1.2681	NA	3.8533
365	A B G SHIPYARD LTD.	20070801	5.2724	5.2563	21.7156
400	A B L BIOTECHNOLOGIES LTD.	20070801	4.7663	NA	5.5854
415	A B M KNOWLEDGEWARE LTD.	20070801	1.8451	NA	2.8197
612	A C E EDUTREND LTD.	20070801	0.6639	NA	-0.0316
666	A C I INFOCOM LTD.	20070801	0.5853	NA	-1.988
783	A D F FOODS LTD.	20070801	1.0197	NA	9.7871
934	APEEJAY TEA LTD. [MERGED]	20070801	0.8684	NA	-2.5833
1120	A I A ENGINEERING LTD.	20070801	6.0685	6.034	35.3518
1317	A K CAPITAL SERVICES LTD.	20070801	2.3955	NA	31.66
2015	A N G INDUSTRIES LTD.	20070801	3.4081	3.3853	19.122
2248	A P M INDUSTRIES LTD.	20070801	0.3606	NA	7.8431
2384	SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.	20070801	2.1275	NA	13.0456
2717	DISH T V INDIA LTD.	20070801	NA	NA	-6.4959
2773	ANIL SPECIAL STEEL INDS. LTD.	20070801	0.7313	NA	-3.5792
2842	A S M TECHNOLOGIES LTD.	20070801	2.616	NA	3.52
3052	A T N INTERNATIONAL LTD.	20070801	0.4138	0.4138	-0.0887
3149	TAVERNIER RESOURCES LTD.	20070801	0.5976	NA	0.5174
3335	A V T NATURAL PRODUCTS LTD.	20070801	1.9212	1.9436	11.0977
3889	AAREY DRUGS & PHARMACEUTICALS LTD.	20070801	1.2312	NA	1.6799
3990	AARTI DRUGS LTD.	20070801	0.7897	0.7943	11.1713
3998	AARTI INDUSTRIES LTD.	20070801	0.8478	0.8548	2.1563
4024	AARVEE DENIMS & EXPORTS LTD.	20070801	0.8253	0.8274	11.8799
4253	ABAN OFFSHORE LTD.	20070801	27.8135	27.8077	26.2534
4320	ABEE INFO-CONSUMABLES LTD.	20070801	0.2389	NA	-0.12
4581	ABHINAV CAPITAL SERVICES LTD.	20070801	2.545	NA	1.0398
4671	RADICO KHAITAN LTD.	20070801	9.2247	9.2681	2.5713
4680	ABHISHEK CORPORATION LTD.	20070801	0.5003	0.5009	8.7661
4709	TRIDENT LTD.	20070801	0.8899	0.8852	1.999
5003	ACCEL FRONTLINE LTD.	20070801	1.1431	1.1398	5.6688
5206	ACCURATE TRANSFORMERS LTD.	20070801	0.9206	NA	18.4716
5284	ACE SOFTWARE EXPORTS LTD.	20070801	0.7073	NA	0.3888
5396	ACKNIT INDUSTRIES LTD.	20070801	0.5518	NA	4.5238
5417	PROVOGUE (INDIA) LTD.	20070801	4.5265	4.5206	11.3941
5568	ACROW INDIA LTD.	20070801	1.4436	NA	7.1875
5574	ACRYSIL LTD.	20070801	1.2759	NA	5.3266
5596	ACTION FINANCIAL SERVICES (INDIA) LTD.	20070801	1.1032	NA	4.2125
5695	AD-MANUM FINANCE LTD.	20070801	0.448	NA	2.4
5747	ADANI ENTERPRISES LTD.	20070801	7.1066	7.1078	6.2612
5802	VIKAS GRANARIES LTD.	20070801	1.7609	NA	0.3519
5843	ADARSH PLANT PROTECT LTD.	20070801	4.5368	NA	-0.0908
5921	ADDI INDUSTRIES LTD.	20070801	0.4797	NA	-2.9083
6348	ADITYA ISPAT LTD.	20070801	0.2799	NA	0.1647
6484	RELIANCE MEDIAWORKS LTD.	20070801	6.1658	6.1709	17.1831
6584	ADOR FONTECH LTD.	20070801	1.8391	NA	15.5143
6585	ADOR MULTIPRODUCTS LTD.	20070801	0.8843	NA	1.4136
6871	ADVANCED MICRONIC DEVICES LTD.	20070801	1.3061	NA	4.7528
6916	ADVANI HOTELS & RESORTS (INDIA) LTD.	20070801	12.8379	13.0523	6.8153
6923	ADOR WELDING LTD.	20070801	2.8775	2.8713	23.8703
6926	ADVANTA LTD. [MERGED]	20070801	2.865	2.8542	13.2882
6953	ADVENT COMPUTER SERVICES LTD.	20070801	0.7902	NA	0.4793
7002	ADVIK LABORATORIES LTD.	20070801	0.6398	NA	-0.2245
7068	AEGIS LOGISTICS LTD.	20070801	1.7951	1.7802	15.5502
7077	LUDLOW JUTE & SPECIALITIES LTD.	20070801	0.8494	NA	2.1164
7091	AEONIAN INVESTMENTS CO. LTD.	20070801	1.2147	NA	12.0208
7294	AFTEK LTD.	20070801	1.0293	1.0293	8.2208
7633	SHIRPUR GOLD REFINERY LTD.	20070801	2.2633	NA	-21.5325
8153	AGRO DUTCH INDS. LTD.	20070801	0.5097	0.5078	7.6443
8183	AGRO TECH FOODS LTD.	20070801	3.9461	3.9349	6.5615
8306	AHLCON PARENTERALS (INDIA) LTD.	20070801	1.6666	NA	12.2914
8312	AHLUWALIA CONTRACTS (INDIA) LTD.	20070801	7.3481	NA	25.2061
8392	METALYST FORGINGS LTD.	20070801	2.6802	2.6781	19.7291
8523	AIMCO PESTICIDES LTD.	20070801	0.6509	NA	-3.0098
8893	AJANTA PHARMA LTD.	20070801	0.9462	0.9477	11.1543
8909	AJANTA SOYA LTD.	20070801	0.5206	NA	0.9414
9395	OPTIEMUS INFRACOM LTD.	20070801	0.2933	NA	-0.2933
9431	AKAR TOOLS LTD.	20070801	1.0012	NA	2.9477
9681	CORE EDUCATION & TECHNOLOGIES LTD.	20070801	8.8535	8.9071	2.9827
9780	HUBTOWN LTD.	20070801	6.1324	6.169	15.8771
9793	AKSH OPTIFIBRE LTD.	20070801	1.181	1.184	-0.3516
10376	ALBERT DAVID LTD.	20070801	1.0875	NA	15.8047
10397	RHODIA SPECIALTY CHEMICALS INDIA LTD.	20070801	0.7634	NA	-10.4574
10566	ALEMBIC LTD.	20070801	2.4164	2.4147	5.2566
10674	ALFA ICA (INDIA) LTD.	20070801	0.8806	NA	2.1287
10678	ALFA LAVAL (INDIA) LTD.	20070801	6.7955	6.7939	40.935
10714	ALFA TRANSFORMERS LTD.	20070801	2.0351	NA	3.9112
10735	ALFAVISION OVERSEAS (INDIA) LTD.	20070801	0.9984	NA	3.2354
10752	ALFRED HERBERT (INDIA) LTD.	20070801	0.616	NA	27.4815
10866	ALKA SECURITIES LTD.	20070801	4.6572	NA	0.068
10867	ALKA INDIA LTD.	20070801	0.808	NA	-0.176
10903	ALKYL AMINES CHEMICALS LTD.	20070801	1.8531	NA	9.9381
11019	ALLAHABAD BANK	20070801	1.0491	1.0497	18.8558
11063	ALLCARGO LOGISTICS LTD.	20070801	5.3423	5.3469	25.6074
11259	AVONMORE CAPITAL & MGMT. SERVICES LTD.	20070801	1.548	NA	0.9989
11262	ALMONDZ GLOBAL SECURITIES LTD.	20070801	3.6061	NA	4.0572
11284	RAP MEDIA LTD.	20070801	4.7083	NA	1.9044
11303	ALLIED DIGITAL SERVICES LTD.	20070801	3.2851	3.2784	16.102
11443	ALLSEC TECHNOLOGIES LTD.	20070801	1.8643	1.8629	16.6357
11599	ALOK INDUSTRIES LTD.	20070801	0.9975	1.0007	9.4646
11764	ALPHA HI-TECH FUEL LTD.	20070801	0.2278	NA	-1.767
11853	ALPHAGEO (INDIA) LTD.	20070801	6.0752	6.0817	17.3713
11955	ALPS INDUSTRIES LTD.	20070801	0.5009	0.4963	8.5704
12007	G E T & D INDIA LTD.	20070801	13.2923	NA	41.9806
12011	G E POWER INDIA LTD.	20070801	13.9714	13.9742	10.8259
12108	ALUFLUORIDE LTD.	20070801	1.5251	NA	2.6427
12258	AMAL LTD.	20070801	NA	NA	-3.3879
12379	AMANI TRADING & EXPORTS LTD.	20070801	0.4119	NA	0.5717
12482	AMAR REMEDIES LTD.	20070801	0.8443	0.8443	6.5166
12517	AMARA RAJA BATTERIES LTD.	20070801	2.4835	2.4793	48.5181
12577	AMARJOTHI SPINNING MILLS LTD.	20070801	0.6898	NA	4.4
12774	AMBALAL SARABHAI ENTERPRISES LTD.	20070801	2.0842	NA	-4.4863
12933	AMBICA AGARBATHIES AROMA & INDS. LTD.	20070801	0.7955	0.8036	1.532
13029	AMBIKA COTTON MILLS LTD.	20070801	0.6752	NA	26.6043
13188	AMCO INDIA LTD.	20070801	0.4471	NA	1.1679
13356	TUTIS TECHNOLOGIES LTD.	20070801	0.6444	NA	-0.9912
13398	AMFORGE INDUSTRIES LTD.	20070801	0.4362	NA	-7.2671
13637	AMIT INTERNATIONAL LTD.	20070801	0.4051	NA	-0.423
13702	AMIT SECURITIES LTD.	20070801	0.6427	NA	0.3239
13711	AMIT SPINNING INDS. LTD.	20070801	1.4843	1.5546	0.5052
13995	AMRAPALI DEVELOPERS (INDIA) LTD. [MERGED]	20070801	0.4865	NA	0.0168
14000	AMRAPALI INDUSTRIES LTD.	20070801	1.0912	NA	4.48
14204	AMRUTANJAN HEALTH CARE LTD.	20070801	4.7379	NA	17.5
14268	AMTEK AUTO LTD.	20070801	2.881	2.8822	17.7149
14271	CASTEX TECHNOLOGIES LTD.	20070801	1.7191	1.7207	11.3633
14299	JOHNSON CONTROLS-HITACHI AIR CONDITIONING INDIA LTD.	20070801	4.9511	4.9374	8.9329
14464	VIPUL LTD.	20070801	3.0811	NA	39.8968
14897	ANANT RAJ LTD.	20070801	2.6189	2.6068	10.3923
15214	ANDHRA BANK	20070801	1.2135	1.2135	10.2742
15222	ANDHRA CEMENTS LTD.	20070801	NA	NA	-1.2902
15246	ANDHRA PETROCHEMICALS LTD.	20070801	1.383	NA	4.7075
15270	INTERNATIONAL PAPER A P P M LTD.	20070801	0.5363	0.54	-3.4896
15303	ANDHRA SUGARS LTD.	20070801	0.8291	0.8355	14.8817
15321	ANDREW YULE & CO. LTD.	20070801	NA	NA	-15.0514
15510	A I CHAMPDANY INDS. LTD.	20070801	1.0903	1.1112	-1.8817
15788	MODI NATURALS LTD.	20070801	0.2108	NA	4.1132
15815	SYSCHEM (INDIA) LTD.	20070801	1.6698	NA	-0.0773
16177	SHREE BHAVYA FABRICS LTD.	20070801	0.9343	NA	2.2436
16178	ANJANI FINANCE LTD.	20070801	3.8601	NA	-0.0592
16191	ANJANI PORTLAND CEMENT LTD.	20070801	1.5547	NA	7.5151
16198	ANJANI SYNTHETICS LTD.	20070801	1.4552	NA	4.8699
16431	ANKUR DRUGS & PHARMA LTD.	20070801	3.7198	3.7413	33.5433
16490	ANKUSH FINSTOCK LTD.	20070801	0.8202	NA	0.0999
16496	AVIVA INDUSTRIES LTD.	20070801	0.6544	NA	0.2668
16635	SHIVA TEXYARN LTD.	20070801	0.7148	0.7057	6.2209
16814	ANSAL BUILDWELL LTD.	20070801	2.0915	NA	11.0918
16820	ANSAL HOUSING & CONSTRUCTION LTD.	20070801	2.1505	2.15	29.4323
16823	ANSAL PROPERTIES & INFRASTRUCTURE LTD.	20070801	3.0353	3.0342	11.2034
16941	ANTARCTICA LTD.	20070801	NA	0.6	-0.4597
17002	A B C BEARINGS LTD.	20070801	1.9881	NA	16.8831
17206	ANUH PHARMA LTD.	20070801	2.2398	NA	23.5632
17728	APAR INDUSTRIES LTD.	20070801	2.9312	2.9512	15.1967
17809	APCOTEX INDUSTRIES LTD.	20070801	0.3854	0.3881	-0.6151
17815	INANNA FASHION & TRENDS LTD.	20070801	NA	NA	-0.0333
18030	APLAB LTD.	20070801	1.4106	NA	3.88
18093	APOLLO FINVEST (INDIA) LTD.	20070801	0.427	NA	2.1193
18102	APOLLO HOSPITALS ENTERPRISE LTD.	20070801	3.1923	3.191	16.3056
18138	ADITYA BIRLA MONEY LTD.	20070801	2.7036	NA	20.1805
18151	APOLLO TYRES LTD.	20070801	1.7081	1.7099	31.1966
18227	APPLE FINANCE LTD.	20070801	NA	NA	-0.6341
18395	HEXAWARE TECHNOLOGIES LTD.	20070801	2.7943	2.7943	9.0733
18396	APTECH LTD.	20070801	16.0062	16.0036	-0.8227
18850	ARAVALI SECURITIES & FINANCE LTD.	20070801	0.6754	NA	-0.1782
18939	ARCEE INDUSTRIES LTD.	20070801	0.3142	NA	-0.4087
19063	ARCHIES LTD.	20070801	1.2305	1.2236	11.8561
19361	NATIONAL PLASTIC TECHNOLOGIES LTD.	20070801	1.4509	NA	1.0056
19408	FINAVENTURE CAPITAL LTD.	20070801	0.6483	NA	1.5145
19480	ARIHANT CAPITAL MARKETS LTD.	20070801	1.7258	NA	11.88
19528	ARIHANT FOUNDATIONS & HOUSING LTD.	20070801	2.886	2.8592	37.9429
19915	ARMAN FINANCIAL SERVICES LTD.	20070801	0.3252	NA	1.4963
19962	RESONANCE SPECIALTIES LTD.	20070801	0.9407	NA	1.2301
20015	ARO GRANITE INDS. LTD.	20070801	1.03	0.9861	20.9972
20094	ARONI COMMERCIALS LTD. [MERGED]	20070801	0.5141	NA	15.0788
20138	ARORA FIBRES LTD.	20070801	0.5429	NA	0.6717
20327	ARROW GREENTECH LTD.	20070801	1.8467	NA	0.637
20451	ARTEFACT PROJECTS LTD.	20070801	3.2591	NA	6.597
20554	ARTSON ENGINEERING LTD.	20070801	37.101	NA	1.6143
20868	ARUNODAY MILLS LTD.	20070801	NA	NA	-31.5273
20973	GUJARAT METALLIC COAL & COKE LTD.	20070801	3.5489	NA	0.6666
