co_code,company_name,co_stkdate,bse_pb,nse_pb,eps_on_stkdate
11,20 MICRONS LTD.,20140801,1.4137,1.4114,0.3194
289,A B C INDIA LTD.,20140801,0.9933,NA,-27.431
363,STARLOG ENTERPRISES LTD.,20140801,0.4427,NA,-20.356
365,A B G SHIPYARD LTD.,20140801,1.011,1.0096,-33.0291
400,A B L BIOTECHNOLOGIES LTD.,20140801,NA,NA,-0.1951
415,A B M KNOWLEDGEWARE LTD.,20140801,1.0938,NA,15.3283
612,A C E EDUTREND LTD.,20140801,0.8698,NA,1.168
666,A C I INFOCOM LTD.,20140801,2.9753,NA,0.0145
783,A D F FOODS LTD.,20140801,0.7162,0.7142,6.2364
1120,A I A ENGINEERING LTD.,20140801,5.3914,5.401,31.7376
1317,A K CAPITAL SERVICES LTD.,20140801,0.5766,NA,31.4394
1464,S M S TECHSOFT (INDIA) LTD.,20140801,0.3726,NA,-0.0006
2015,A N G INDUSTRIES LTD.,20140801,0.2581,0.2566,-4.0346
2248,A P M INDUSTRIES LTD.,20140801,0.5754,NA,9.3192
2384,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,20140801,2.4548,NA,-8.9947
2717,DISH T V INDIA LTD.,20140801,NA,NA,-0.493
2773,ANIL SPECIAL STEEL INDS. LTD.,20140801,0.2698,NA,-4.1452
2842,A S M TECHNOLOGIES LTD.,20140801,1.7325,NA,19.92
3052,A T N INTERNATIONAL LTD.,20140801,0.4161,0.4578,-0.2433
3083,A T V PROJECTS INDIA LTD.,20140801,NA,NA,0.2862
3335,A V T NATURAL PRODUCTS LTD.,20140801,3.4754,3.4713,3.3149
3704,PRISM INFORMATICS LTD.,20140801,1.363,NA,-1.1389
3889,AAREY DRUGS & PHARMACEUTICALS LTD.,20140801,0.709,NA,0.7969
3990,AARTI DRUGS LTD.,20140801,2.8076,2.8222,52.6405
3998,AARTI INDUSTRIES LTD.,20140801,2.3403,2.3403,18.6869
4024,AARVEE DENIMS & EXPORTS LTD.,20140801,0.4297,0.4311,-0.6948
4253,ABAN OFFSHORE LTD.,20140801,1.5568,1.5552,47.7895
4671,RADICO KHAITAN LTD.,20140801,1.6138,1.613,4.0785
4709,TRIDENT LTD.,20140801,0.7708,0.7708,4.1634
5003,ACCEL FRONTLINE LTD.,20140801,1.0036,1.0156,0.7022
