9335,AJWA FUN WORLD & RESORT LTD.
9356,AFLOAT TEXTILE (INDIA) LTD.
9395,OPTIEMUS INFRACOM LTD.
9424,AKAR LAMINATORS LTD.
9431,AKAR TOOLS LTD.
9457,AKASH AGRO INDS. LTD.
9553,AKASHDEEP METAL INDS. LTD.
9681,CORE EDUCATION & TECHNOLOGIES LTD.
9780,HUBTOWN LTD.
9793,AKSH OPTIFIBRE LTD.
10133,ALACRITY HOUSING LTD.
10135,ALACRITY SECURITIES LTD.
10158,SAI JEEVADHARA FINANCE LTD.
10220,ALAN SCOTT INDS. LTD.
10231,ALANG MARINE LTD.
10376,ALBERT DAVID LTD.
10397,RHODIA SPECIALTY CHEMICALS INDIA LTD.
10489,ALCOBEX METALS LTD.
10564,SHRENO LTD.
10564,SHRENO LTD.
10566,ALEMBIC LTD.
10674,ALFA ICA (INDIA) LTD.
10678,ALFA LAVAL (INDIA) LTD.
10714,ALFA TRANSFORMERS LTD.
10735,ALFAVISION OVERSEAS (INDIA) LTD.
10752,ALFRED HERBERT (INDIA) LTD.
10853,ALKA DIAMOND INDS. LTD.
10866,ALKA SECURITIES LTD.
10867,ALKA INDIA LTD.
10872,ALKALI METALS LTD.
10884,ALKEM LABORATORIES LTD.
10903,ALKYL AMINES CHEMICALS LTD.
11019,ALLAHABAD BANK
11063,ALLCARGO LOGISTICS LTD.
11259,AVONMORE CAPITAL & MGMT. SERVICES LTD.
11262,ALMONDZ GLOBAL SECURITIES LTD.
11284,RAP MEDIA LTD.
11303,ALLIED DIGITAL SERVICES LTD.
11366,ALLIED RESINS & CHEMICALS LTD. [MERGED]
11443,ALLSEC TECHNOLOGIES LTD.
11445,ALLSOFT CORPORATION LTD.
11554,ALNA TRADING & EXPORTS LTD.
11599,ALOK INDUSTRIES LTD.
11654,ALORA TRADING CO. LTD.
11664,ALPA LABORATORIES LTD.
11760,ALPHA GRAPHIC INDIA LTD.
11764,ALPHA HI-TECH FUEL LTD.
11853,ALPHAGEO (INDIA) LTD.
11885,ALPINE CAPITAL SERVICES LTD.
11905,ALPINE HOUSING DEVP. CORPN. LTD.
11955,ALPS INDUSTRIES LTD.
11956,ALPS B P O SERVICES LTD.
11990,ALSA MARINE & HARVESTS LTD.
12007,G E T & D INDIA LTD.
12011,G E POWER INDIA LTD.
12108,ALUFLUORIDE LTD.
12131,ALUMINIUM INDUSTRIES LTD.
12258,AMAL LTD.
12281,AMALGAMATED ELECTRICITY CO. LTD.
12379,AMANI TRADING & EXPORTS LTD.
12482,AMAR REMEDIES LTD.
12506,AMAR VANIJYA LTD.
12517,AMARA RAJA BATTERIES LTD.
12577,AMARJOTHI SPINNING MILLS LTD.
12616,AMARNATH SECURITIES LTD.
12709,AMBA ENTERPRISES LTD.
12761,SCAN PROJECTS LTD.
12774,AMBALAL SARABHAI ENTERPRISES LTD.
12933,AMBICA AGARBATHIES AROMA & INDS. LTD.
13029,AMBIKA COTTON MILLS LTD.
13096,AMBITIOUS PLASTOMAC CO. LTD.
13123,AMBUJA AGRO INDS. LTD.
13188,AMCO INDIA LTD.
13203,AMEE COSMO PHARMA LTD.
13356,TUTIS TECHNOLOGIES LTD.
13398,AMFORGE INDUSTRIES LTD.
13499,AMINES & PLASTICIZERS LTD.
13560,AMISON FOODS LTD.
13637,AMIT INTERNATIONAL LTD.
13702,AMIT SECURITIES LTD.
13711,AMIT SPINNING INDS. LTD.
13976,AMPRO PRODUCTS LTD.
13995,AMRAPALI DEVELOPERS (INDIA) LTD. [MERGED]
14000,AMRAPALI INDUSTRIES LTD.
14039,AMRIT CORP. LTD.
14050,AMRIT BANASPATI CO. LTD.
14204,AMRUTANJAN HEALTH CARE LTD.
14250,AMRADEEP INDUSTRIES LTD.
14268,AMTEK AUTO LTD.
14271,CASTEX TECHNOLOGIES LTD.
14299,JOHNSON CONTROLS-HITACHI AIR CONDITIONING INDIA LTD.
14344,AMULYA LEASING & FINANCE LTD.
14379,AMZEL LTD.
14464,VIPUL LTD.
14520,ANAN DRUG & CHEM LTD.
14582,ANAND CREDIT LTD.
14592,ANAND PROJECTS LTD.
14658,GENERA AGRI CORP LTD.
14663,OZONE WORLD LTD.
14801,BALAXI VENTURES LTD.
14897,ANANT RAJ LTD.
14967,ANANTHI CONSTRUCTIONS LTD.
15047,NAKSHATRA INFRASTRUCTURE LTD.
15081,SHIKHAR LEASING & TRADING LTD.
15214,ANDHRA BANK
15246,ANDHRA PETROCHEMICALS LTD.
15270,INTERNATIONAL PAPER A P P M LTD.
15290,ANDHRA PRADESH TANNERIES LTD.
15303,ANDHRA SUGARS LTD.
15321,ANDREW YULE & CO. LTD.
15472,INCEPTUM ENTERPRISES LTD.
15510,A I CHAMPDANY INDS. LTD.
15646,A P T PACKAGING LTD.
15788,MODI NATURALS LTD.
15815,SYSCHEM (INDIA) LTD.
15887,ANIL LTD.
16177,SHREE BHAVYA FABRICS LTD.
16178,ANJANI FINANCE LTD.
16191,ANJANI PORTLAND CEMENT LTD.
16196,ANJANI SOLVENTS INDIA LTD.
16198,ANJANI SYNTHETICS LTD.
16279,ANKA INDIA LTD.
16375,ANKIT YARNS LTD.
16431,ANKUR DRUGS & PHARMA LTD.
16490,ANKUSH FINSTOCK LTD.
16496,AVIVA INDUSTRIES LTD.
16528,ANMOL DRUGS & PHARMACEUTICALS LTD.
16575,SHAILY ENGINEERING PLASTICS LTD.
16590,ANNA INFRASTRUCTURES LTD.
16635,SHIVA TEXYARN LTD.
16814,ANSAL BUILDWELL LTD.
16820,ANSAL HOUSING & CONSTRUCTION LTD.
16823,ANSAL PROPERTIES & INFRASTRUCTURE LTD.
16893,ANSHUNI COMMERCIALS LTD.
16941,ANTARCTICA LTD.
17002,A B C BEARINGS LTD.
17123,AMEYA LABORATORIES LTD.
17143,ANUBHAV INDUSTRIAL RESOURCES LTD.
17200,ONESOURCE IDEAS VENTURE LTD.
17206,ANUH PHARMA LTD.
17272,ANUKARAN COMMERCIAL ENTERPRISES LTD.
17325,ANUP MALLEABLES LTD.
17445,ANUPAMA STEEL LTD.
17638,NEO INFRACON LTD.
17728,APAR INDUSTRIES LTD.
17809,APCOTEX INDUSTRIES LTD.
17815,INANNA FASHION & TRENDS LTD.
18030,APLAB LTD.
18065,ADINATH BIO-LABS LTD.
18093,APOLLO FINVEST (INDIA) LTD.
18102,APOLLO HOSPITALS ENTERPRISE LTD.
18138,ADITYA BIRLA MONEY LTD.
18139,APOLLO SINDOORI HOTELS LTD.
18151,APOLLO TYRES LTD.
18222,ABHAYAM TRADING LTD.
18227,APPLE FINANCE LTD.
18381,EMERALD LEISURES LTD.
18395,HEXAWARE TECHNOLOGIES LTD.
18396,APTECH LTD.
18544,AQUALAND (INDIA) LTD.
18755,ARAMUSK INFRASTRUCTURE INVESTMENTS LTD.
18838,ARAVALI INDUSTRIES LTD.
18850,ARAVALI SECURITIES & FINANCE LTD.
18928,SAUMYA CAPITAL LTD.
18939,ARCEE INDUSTRIES LTD.
19021,ARCHANA SOFTWARE LTD.
19063,ARCHIES LTD.
19131,ARCO LEASING LTD.
19186,ARCUTTIPORE TEA CO. LTD.
19230,ARDI INVESTMENTS & TRDG. CO. LTD.
19291,AREX INDUSTRIES LTD.
19297,ARFIN INDIA LTD.
19361,NATIONAL PLASTIC TECHNOLOGIES LTD.
19377,ARHANT SUEDES LTD.
19408,FINAVENTURE CAPITAL LTD.
19420,ARIES AGRO LTD.
19470,DISHA RESOURCES LTD.
19480,ARIHANT CAPITAL MARKETS LTD.
19486,ARIHANT CLASSIC FINANCE LTD.
19510,BRIYA ENTERPRISE LTD.
19528,ARIHANT FOUNDATIONS & HOUSING LTD.
19597,AAYUSH FOOD & HERBS LTD.
19626,ARIHANT TOURNESOL LTD.
19642,ARIHANT'S SECURITIES LTD.
19878,ARLABS LTD.
19913,ARMAN HOLDINGS LTD.
19915,ARMAN FINANCIAL SERVICES LTD.
19962,RESONANCE SPECIALTIES LTD.
20011,ARNOLD HOLDINGS LTD.
20015,ARO GRANITE INDS. LTD.
20094,ARONI COMMERCIALS LTD. [MERGED]
20138,ARORA FIBRES LTD.
20327,ARROW GREENTECH LTD.
20352,SAFAL SECURITIES LTD.
20384,EXOTIC COAL LTD.
20440,ARTECH POWER & TRDG. LTD.
20451,ARTEFACT PROJECTS LTD.
20716,ARUN MANTEX LTD.
20768,A V T I L ENTERPRISE LTD.
20806,ARUNA HOTELS LTD.
20858,TAAZA INTERNATIONAL LTD.
20868,ARUNODAY MILLS LTD.
21009,ARVIND INTERNATIONAL LTD.
21042,ARVIND LTD.
21058,ARVIND PRODUCTS LTD. [MERGED]
21066,ARVIND REMEDIES LTD.
21190,ARYAMAN FINANCIAL SERVICES LTD.
21275,ASAHI INFRASTRUCTURE & PROJECTS LTD.
21279,ASAHI INDUSTRIES LTD.
21283,ASAHI INDIA GLASS LTD.
21290,ASAHI SONGWON COLORS LTD.
21358,ASCENT EXIM (INDIA) LTD.
21420,A B B INDIA LTD.
21424,ASEAN INDUSTRIAL STRUCTURES LTD.
21575,ASHAPURA MINECHEM LTD.
21611,ASHCO NIULAB INDS. LTD.
21649,ASHIANA AGRO INDS. LTD.
21663,ASHIANA HOUSING LTD.
21667,ASHIANA ISPAT LTD.
21688,ASHIKA CREDIT CAPITAL LTD.
21697,ASHIM INVESTMENT CO. LTD. [MERGED]
21707,ASHIMA LTD.
21728,ASHIRWAD CAPITAL LTD.
21755,ASHIRWAD STEELS & INDS. LTD.
21844,ASHISH POLYPLAST LTD.
