6584,ADOR FONTECH LTD.,1033.8,0.27142580769974856
6585,ADOR MULTIPRODUCTS LTD.,67.7,-0.06646971935007386
6697,ADVANCE BIO-COAL (INDIA) LTD.,,
6767,ADVANCE MULTITECH LTD.,100.5,0.01592039800995025
6773,ADVANCE PETROCHEMICALS LTD.,52.2,0.01532567049808429
6793,ADVANCE SYNTEX LTD.,184.9,0.060032449972958354
6819,ADVANCED ENZYME TECHNOLOGIES LTD.,1920.9,0.12192201572179706
6871,ADVANCED MICRONIC DEVICES LTD.,643.6,-0.0759788688626476
6916,ADVANI HOTELS & RESORTS (INDIA) LTD.,,
6923,ADOR WELDING LTD.,2337.9,0.08161170281021429
6926,ADVANTA LTD. [MERGED],,
6953,ADVENT COMPUTER SERVICES LTD.,169.8,-0.0029446407538280327
7002,ADVIK LABORATORIES LTD.,240.8,0.020764119601328904
7068,AEGIS LOGISTICS LTD.,4586.5,0.08736509320832879
7077,LUDLOW JUTE & SPECIALITIES LTD.,839.4,0.10221586847748393
7091,AEONIAN INVESTMENTS CO. LTD.,930.1,0.23287818514138264
7294,AFTEK LTD.,6498.1,-0.038765177513427
7447,WAGEND INFRA VENTURE LTD.,233.1,0.025311025311025314
7633,SHIRPUR GOLD REFINERY LTD.,5761.1,0.003957577545954765
8083,AGRI-TECH (INDIA) LTD.,,
8122,AGRIMAS CHEMICALS LTD.,502.7,0.0031828128108215637
8150,AGRO CHEM PUNJAB LTD.,11.2,0.0
8153,AGRO DUTCH INDS. LTD.,5434.1,-0.18304779080252478
8183,AGRO TECH FOODS LTD.,2886.9,0.1442377636911566
8306,AHLCON PARENTERALS (INDIA) LTD.,,
8312,AHLUWALIA CONTRACTS (INDIA) LTD.,,
8336,ADVANCE LIFESTYLES LTD.,1239.2,0.0019367333763718527
8360,EXCEL CASTRONICS LTD.,5.8,0.10344827586206896
8378,AHMEDABAD STEELCRAFT LTD.,262.1,0.02975963372758489
8392,METALYST FORGINGS LTD.,17785.0,0.09791397244869272
8468,AHURA WELDING ELECTRODE MFRS. LTD.,27.3,-0.003663003663003663
8523,AIMCO PESTICIDES LTD.,970.2,0.08142650999793856
8628,AIRAN LTD.,194.2,0.049948506694129764
8645,AIRCOMMAND AIRTECHNICS LTD.,0.1,0.0
8646,AIRCOMMAND INDIA LTD.,1.5,0.0
8893,AJANTA PHARMA LTD.,6188.6,0.16344569046310958
8909,AJANTA SOYA LTD.,606.5,0.008573784006595218
9167,AJCON GLOBAL SERVICES LTD.,202.9,0.03449975357318876
9335,AJWA FUN WORLD & RESORT LTD.,109.1,0.0540788267644363
9356,AFLOAT TEXTILE (INDIA) LTD.,,
9395,OPTIEMUS INFRACOM LTD.,5479.3,0.05586480024820689
9431,AKAR TOOLS LTD.,1110.5,0.008374606033318325
9457,AKASH AGRO INDS. LTD.,228.9,0.055482743556138046
9505,AKASH INFRA-PROJECTS LTD.,549.2,0.11671522214129641
9553,AKASHDEEP METAL INDS. LTD.,3.3,0.030303030303030307
