co_code,company_name,co_stkdate,bse_pb,nse_pb,eps_on_stkdate
272854,WOCKHARDT LTD.,20120801,56.5935,56.5485,25.7767
132144,M M T C LTD.,20120801,49.1297,49.0111,1.2441
88770,H M T LTD.,20120801,46.0188,46.1312,-1.1472
72842,"FERTILISERS & CHEMICALS, TRAVANCORE LTD.",20120801,30.1262,30.0148,-1.7842
49138,COLGATE-PALMOLIVE (INDIA) LTD.,20120801,28.4761,28.4625,34.0091
26485,B F UTILITIES LTD.,20120801,27.7898,27.837,0.9371
157827,NESTLE INDIA LTD.,20120801,23.8258,23.7455,106.4329
23709,ASTRAZENECA PHARMA INDIA LTD.,20120801,22.0561,22.0085,-1.412
62499,JUBILANT FOODWORKS LTD.,20120801,21.9329,21.9466,18.4076
94080,HINDUSTAN UNILEVER LTD.,20120801,20.9887,20.9843,12.5879
254594,TRIVENI TURBINE LTD.,20120801,17.9942,17.9942,2.6239999999999997
36391,DIGJAM LTD. [MERGED],20120801,17.4808,17.5758,-0.3343
351367,GRAVITA INDIA LTD.,20120801,17.5811,17.5658,1.0617
386419,C I L NOVA PETROCHEMICALS LTD.,20120801,17.408,17.5021,0.7675
168589,PAGE INDUSTRIES LTD.,20120801,16.7861,16.8468,87.8887
42974,CASTROL INDIA LTD.,20120801,16.2788,16.2395,17.1781
94000,HINDUSTAN COPPER LTD.,20120801,15.8593,15.8657,3.3176
376597,L G B FORGE LTD.,20120801,15.5662,15.2832,-0.3647
54885,DABUR INDIA LTD.,20120801,14.8208,14.8024,3.0737
402171,ONELIFE CAPITAL ADVISORS LTD.,20120801,14.6861,14.6738,-0.1647
52194,CRISIL LTD.,20120801,13.4595,13.467,27.377
246538,T T K PRESTIGE LTD.,20120801,13.3562,13.3227,104.4511
227036,SIGNET INDUSTRIES LTD.,20120801,12.8102,12.9775,1.3431
22859,ASIAN PAINTS LTD.,20120801,12.5542,12.5942,102.0624
81580,GILLETTE INDIA LTD.,20120801,12.3659,12.4067,22.6544
