co_code,company_name,co_stkdate,bse_pb,nse_pb,eps_on_stkdate
94080,HINDUSTAN UNILEVER LTD.,20130801,37.1383,37.1998,15.2972
69497,ESSAR OIL LTD.,20130801,29.8413,29.7211,-3.0304
49138,COLGATE-PALMOLIVE (INDIA) LTD.,20130801,26.68,26.6256,36.2129
371302,SUN PHARMA ADVANCED RESEARCH CO. LTD.,20130801,23.8591,23.9694,0.2226
157827,NESTLE INDIA LTD.,20130801,21.4904,21.5532,117.0774
227036,SIGNET INDUSTRIES LTD.,20130801,19.3628,19.3908,4.4095
168589,PAGE INDUSTRIES LTD.,20130801,19.2463,19.3752,110.3025
42974,CASTROL INDIA LTD.,20130801,17.0645,17.0592,8.9566
54885,DABUR INDIA LTD.,20130801,16.3976,16.4233,3.4658
62499,JUBILANT FOODWORKS LTD.,20130801,15.2998,15.3206,21.5285
239726,SUN PHARMACEUTICAL INDS. LTD.,20130801,14.9827,15.0224,1.3006
52194,CRISIL LTD.,20130801,14.6354,14.6335,27.3237
22859,ASIAN PAINTS LTD.,20130801,14.4061,14.454,10.9792
67417,EMAMI LTD.,20130801,12.6154,12.6195,10.3843
66185,EICHER MOTORS LTD.,20130801,11.9889,12.0397,80.3214
229572,GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD.,20130801,11.81,11.7652,112.6605
320945,UNITED BREWERIES LTD.,20130801,11.3998,11.4363,6.3028
38924,BRITANNIA INDUSTRIES LTD.,20130801,11.3974,11.4177,22.1889
182523,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,20130801,11.1971,11.2066,59.5581
97066,I T C LTD.,20130801,11.0931,11.1243,9.7601
81580,GILLETTE INDIA LTD.,20130801,10.8005,10.8399,27.3314
251664,TITAN COMPANY LTD.,20130801,10.7286,10.7245,8.4862
114412,ACCELYA KALE SOLUTIONS LTD.,20130801,10.6497,10.6781,44.8136
254594,TRIVENI TURBINE LTD.,20130801,10.6509,10.6509,3.0857
53291,D B (INTERNATIONAL) STOCK BROKERS LTD.,20130801,9.9127,9.9075,1.68
164646,TATA CONSULTANCY SERVICES LTD.,20130801,9.8896,9.8907,69.6734
83013,GODREJ CONSUMER PRODUCTS LTD.,20130801,9.7066,9.6935,15.5232
6484,RELIANCE MEDIAWORKS LTD.,20130801,9.3069,9.3187,-21.984
82150,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,20130801,8.6355,8.6715,56.7182
26485,B F UTILITIES LTD.,20130801,8.5489,8.5347,2.7265
42684,ZYDUS WELLNESS LTD.,20130801,8.4479,8.4458,25.7959
36937,BLUE DART EXPRESS LTD.,20130801,8.102,8.0982,65.7369
193553,RANBAXY LABORATORIES LTD. [MERGED],20130801,8.0483,8.03,-16.0993
246538,T T K PRESTIGE LTD.,20130801,7.8698,7.8803,109.8513
31130,BATA INDIA LTD.,20130801,7.7113,7.7084,28.0407
260926,V S T INDUSTRIES LTD.,20130801,7.4824,7.4812,75.6901
130382,LUPIN LTD.,20130801,7.4237,7.4433,29.6208
160874,NITIN FIRE PROTECTION INDS. LTD.,20130801,7.4148,7.4366,0.4806
122625,BYKE HOSPITALITY LTD.,20130801,7.3203,7.319,4.9479
175214,PIDILITE INDUSTRIES LTD.,20130801,7.2972,7.3039,9.3067
194450,RASOYA PROTEINS LTD.,20130801,7.1931,7.1723,0.0851
149616,MOTHERSON SUMI SYSTEMS LTD.,20130801,7.0892,7.1083,8.1632
48799,COAL INDIA LTD.,20130801,7.0954,7.0888,13.8643
86417,GRUH FINANCE LTD.,20130801,7.0517,7.0551,8.3992
30575,VISAGAR POLYTEX LTD.,20130801,6.8926,6.8567,0.56
408877,SCHNEIDER ELECTRIC INFRASTRUCTURE LTD.,20130801,6.7719,6.7719,-1.4559
374518,BAJAJ AUTO LTD.,20130801,6.4737,6.4769,100.8221
32433,BERGER PAINTS INDIA LTD.,20130801,6.4096,6.4079999999999995,6.2705
88258,H C L TECHNOLOGIES LTD.,20130801,6.3297,6.3383,51.7978
140097,MARICO LTD.,20130801,6.2635,6.2439,5.85
275062,ZEE ENTERTAINMENT ENTERPRISES LTD.,20130801,6.2158,6.2184,7.1397
386419,C I L NOVA PETROCHEMICALS LTD.,20130801,6.2184,6.1997,1.0627
157438,NELCO LTD.,20130801,6.1009,6.1811,-9.2951
266490,VIKAS ECOTECH LTD.,20130801,5.7482,5.9712,2.6524
101293,SUNTECK REALTY LTD.,20130801,5.9184,5.9575,2.1122
136494,TECH MAHINDRA LTD.,20130801,5.9496,5.9515,44.7356
82197,GLENMARK PHARMACEUTICALS LTD.,20130801,5.8712,5.9025,16.5731
23709,ASTRAZENECA PHARMA INDIA LTD.,20130801,5.8917,5.8979,-30.236
272854,WOCKHARDT LTD.,20130801,5.8421,5.8467,23.2325
36277,3M INDIA LTD.,20130801,5.8260000000000005,5.8185,36.6531
261187,V-GUARD INDUSTRIES LTD.,20130801,5.7853,5.7842,19.2713
125849,LA OPALA R G LTD.,20130801,5.5989,5.6158,25.4682
393826,ALEMBIC PHARMACEUTICALS LTD.,20130801,5.6122,5.6122,9.3112
